tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 121.01; Boulder County; Colorado,4746,189444,1703,431,08,013,012101,2134,0.20196813495782567,1.0,4746.0,35,census_api
Census Tract 121.03; Boulder County; Colorado,3475,114107,1124,445,08,013,012103,1569,0.2836201402166985,1.0,3475.0,35,census_api
Census Tract 121.04; Boulder County; Colorado,2189,140598,810,159,08,013,012104,969,0.16408668730650156,1.0,2189.0,35,census_api
Census Tract 121.05; Boulder County; Colorado,6346,94091,1652,916,08,013,012105,2568,0.35669781931464173,1.0,6346.0,35,census_api
Census Tract 121.06; Boulder County; Colorado,2584,104063,835,345,08,013,012106,1180,0.2923728813559322,1.0,2584.0,35,census_api
Census Tract 121.07; Boulder County; Colorado,4542,91038,1123,732,08,013,012107,1855,0.39460916442048516,1.0,4542.0,35,census_api
Census Tract 122.01; Boulder County; Colorado,3612,90956,659,841,08,013,012201,1500,0.5606666666666666,1.0,3612.0,35,census_api
Census Tract 122.04; Boulder County; Colorado,3881,50824,329,1489,08,013,012204,1818,0.819031903190319,1.0,3881.0,35,census_api
Census Tract 122.05; Boulder County; Colorado,3471,39750,552,1472,08,013,012205,2024,0.7272727272727273,1.0,3471.0,35,census_api
Census Tract 122.06; Boulder County; Colorado,3514,30531,296,1423,08,013,012206,1719,0.8278068644560791,1.0,3514.0,35,census_api
Census Tract 122.07; Boulder County; Colorado,4640,70065,1127,1197,08,013,012207,2324,0.5150602409638554,1.0,4640.0,35,census_api
Census Tract 122.08; Boulder County; Colorado,2172,92989,523,945,08,013,012208,1468,0.6437329700272479,1.0,2172.0,35,census_api
Census Tract 123; Boulder County; Colorado,6831,42000,25,607,08,013,012300,632,0.9604430379746836,1.0,6831.0,35,census_api
Census Tract 124.01; Boulder County; Colorado,7404,29113,321,1758,08,013,012401,2079,0.8455988455988456,1.0,7404.0,35,census_api
Census Tract 125.01; Boulder County; Colorado,2485,102711,678,485,08,013,012501,1163,0.4170249355116079,1.0,2485.0,35,census_api
Census Tract 125.05; Boulder County; Colorado,4197,193631,1108,481,08,013,012505,1589,0.302706104468219,1.0,4197.0,35,census_api
Census Tract 125.07; Boulder County; Colorado,4006,67788,671,1048,08,013,012507,1719,0.6096567771960442,1.0,4006.0,35,census_api
Census Tract 125.08; Boulder County; Colorado,2520,87742,478,698,08,013,012508,1176,0.5935374149659864,1.0,2520.0,35,census_api
Census Tract 125.09; Boulder County; Colorado,3395,169934,999,252,08,013,012509,1251,0.2014388489208633,1.0,3395.0,35,census_api
Census Tract 125.10; Boulder County; Colorado,3670,118929,1436,366,08,013,012510,1802,0.20310765815760268,1.0,3670.0,35,census_api
Census Tract 125.11; Boulder County; Colorado,6422,74241,883,939,08,013,012511,1822,0.5153677277716795,1.0,6422.0,35,census_api
Census Tract 126.03; Boulder County; Colorado,3389,153571,979,397,08,013,012603,1376,0.28851744186046513,1.0,3389.0,35,census_api
Census Tract 126.05; Boulder County; Colorado,1909,39712,69,702,08,013,012605,771,0.9105058365758755,1.0,1909.0,35,census_api
Census Tract 126.08; Boulder County; Colorado,2310,84375,446,538,08,013,012608,984,0.5467479674796748,1.0,2310.0,35,census_api
Census Tract 126.09; Boulder County; Colorado,1417,40236,140,636,08,013,012609,776,0.8195876288659794,1.0,1417.0,35,census_api
Census Tract 126.10; Boulder County; Colorado,4653,21809,110,2300,08,013,012610,2410,0.9543568464730291,1.0,4653.0,35,census_api
Census Tract 127.01; Boulder County; Colorado,5884,127308,1983,533,08,013,012701,2516,0.2118441971383148,1.0,5884.0,35,census_api
Census Tract 127.05; Boulder County; Colorado,5352,89500,977,1899,08,013,012705,2876,0.6602920723226704,1.0,5352.0,35,census_api
Census Tract 127.07; Boulder County; Colorado,2278,73563,539,129,08,013,012707,668,0.19311377245508982,1.0,2278.0,35,census_api
Census Tract 127.08; Boulder County; Colorado,4425,130435,1477,581,08,013,012708,2058,0.282312925170068,1.0,4425.0,35,census_api
Census Tract 127.09; Boulder County; Colorado,1970,119500,656,152,08,013,012709,808,0.18811881188118812,1.0,1970.0,35,census_api
Census Tract 127.10; Boulder County; Colorado,3472,159954,1215,238,08,013,012710,1453,0.16379903647625602,1.0,3472.0,35,census_api
Census Tract 128.01; Boulder County; Colorado,8633,158056,2929,223,08,013,012801,3152,0.070748730964467,1.0,8633.0,35,census_api
Census Tract 128.02; Boulder County; Colorado,6790,151371,2024,372,08,013,012802,2396,0.15525876460767946,1.0,6790.0,35,census_api
Census Tract 129.03; Boulder County; Colorado,2544,130536,886,159,08,013,012903,1045,0.1521531100478469,1.0,2544.0,35,census_api
Census Tract 129.04; Boulder County; Colorado,6120,136500,2012,658,08,013,012904,2670,0.24644194756554308,1.0,6120.0,35,census_api
Census Tract 129.05; Boulder County; Colorado,2671,75000,621,671,08,013,012905,1292,0.5193498452012384,1.0,2671.0,35,census_api
Census Tract 129.07; Boulder County; Colorado,3467,131852,945,497,08,013,012907,1442,0.3446601941747573,1.0,3467.0,35,census_api
Census Tract 130.03; Boulder County; Colorado,7393,121672,2262,821,08,013,013003,3083,0.26629905935776843,1.0,7393.0,35,census_api
Census Tract 130.04; Boulder County; Colorado,3352,195000,970,86,08,013,013004,1056,0.08143939393939394,1.0,3352.0,35,census_api
Census Tract 130.05; Boulder County; Colorado,3109,143871,843,411,08,013,013005,1254,0.3277511961722488,1.0,3109.0,35,census_api
