tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 1; Chittenden County; Vermont,4508,95027,1555,409,50,007,000100,1964,0.20824847250509165,1.0,4508.0,35,census_api
Census Tract 2; Chittenden County; Vermont,5749,80524,1569,812,50,007,000200,2381,0.34103317933641325,1.0,5749.0,35,census_api
Census Tract 3; Chittenden County; Vermont,4985,50110,650,1821,50,007,000300,2471,0.7369486038041279,1.0,4985.0,35,census_api
Census Tract 6; Chittenden County; Vermont,4785,61667,557,1381,50,007,000600,1938,0.7125902992776058,1.0,4785.0,35,census_api
Census Tract 8; Chittenden County; Vermont,2430,116691,660,372,50,007,000800,1032,0.36046511627906974,1.0,2430.0,35,census_api
Census Tract 9; Chittenden County; Vermont,2714,69784,296,807,50,007,000900,1103,0.7316409791477788,1.0,2714.0,35,census_api
Census Tract 10; Chittenden County; Vermont,2659,57386,328,1130,50,007,001000,1458,0.7750342935528121,1.0,2659.0,35,census_api
Census Tract 11; Chittenden County; Vermont,2206,111500,760,344,50,007,001100,1104,0.3115942028985507,1.0,2206.0,35,census_api
Census Tract 21.01; Chittenden County; Vermont,2829,133750,990,44,50,007,002101,1034,0.0425531914893617,1.0,2829.0,35,census_api
Census Tract 21.03; Chittenden County; Vermont,4205,112632,1481,129,50,007,002103,1610,0.08012422360248447,1.0,4205.0,35,census_api
Census Tract 21.04; Chittenden County; Vermont,3686,88533,893,477,50,007,002104,1370,0.34817518248175183,1.0,3686.0,35,census_api
Census Tract 22.01; Chittenden County; Vermont,3466,59773,330,388,50,007,002201,718,0.5403899721448467,1.0,3466.0,35,census_api
Census Tract 22.02; Chittenden County; Vermont,4950,87444,1525,811,50,007,002202,2336,0.3471746575342466,1.0,4950.0,35,census_api
Census Tract 23.01; Chittenden County; Vermont,1390,118750,368,171,50,007,002301,539,0.3172541743970315,1.0,1390.0,35,census_api
Census Tract 23.03; Chittenden County; Vermont,4926,113636,1830,290,50,007,002303,2120,0.13679245283018868,1.0,4926.0,35,census_api
Census Tract 23.04; Chittenden County; Vermont,2814,80319,851,395,50,007,002304,1246,0.31701444622792935,1.0,2814.0,35,census_api
Census Tract 24; Chittenden County; Vermont,3488,72125,585,806,50,007,002400,1391,0.5794392523364486,1.0,3488.0,35,census_api
Census Tract 25.01; Chittenden County; Vermont,2431,57990,524,608,50,007,002501,1132,0.5371024734982333,1.0,2431.0,35,census_api
Census Tract 25.02; Chittenden County; Vermont,2203,72762,209,956,50,007,002502,1165,0.8206008583690987,1.0,2203.0,35,census_api
Census Tract 26.01; Chittenden County; Vermont,6174,81054,1617,1072,50,007,002601,2689,0.39866121234659724,1.0,6174.0,35,census_api
Census Tract 26.02; Chittenden County; Vermont,4472,101250,1168,747,50,007,002602,1915,0.39007832898172323,1.0,4472.0,35,census_api
Census Tract 27.01; Chittenden County; Vermont,6151,84483,1719,1117,50,007,002701,2836,0.39386459802538787,1.0,6151.0,35,census_api
Census Tract 27.02; Chittenden County; Vermont,5298,110933,1988,138,50,007,002702,2126,0.06491063029162747,1.0,5298.0,35,census_api
Census Tract 28; Chittenden County; Vermont,5105,109500,1915,137,50,007,002800,2052,0.06676413255360623,1.0,5105.0,35,census_api
Census Tract 29; Chittenden County; Vermont,6590,99103,2230,278,50,007,002900,2508,0.11084529505582137,1.0,6590.0,35,census_api
Census Tract 30; Chittenden County; Vermont,4157,117863,1446,383,50,007,003000,1829,0.20940404592673592,1.0,4157.0,35,census_api
Census Tract 31.01; Chittenden County; Vermont,8154,97742,2618,845,50,007,003101,3463,0.24400808547502165,1.0,8154.0,35,census_api
Census Tract 31.02; Chittenden County; Vermont,1919,135085,712,79,50,007,003102,791,0.09987357774968394,1.0,1919.0,35,census_api
Census Tract 33.01; Chittenden County; Vermont,4610,154182,1530,168,50,007,003301,1698,0.0989399293286219,1.0,4610.0,35,census_api
Census Tract 33.04; Chittenden County; Vermont,6332,93086,1680,1042,50,007,003304,2722,0.3828067597354886,1.0,6332.0,35,census_api
Census Tract 34.01; Chittenden County; Vermont,5296,107724,1742,503,50,007,003401,2245,0.22405345211581293,1.0,5296.0,35,census_api
Census Tract 34.02; Chittenden County; Vermont,2455,105375,655,387,50,007,003402,1042,0.3714011516314779,1.0,2455.0,35,census_api
Census Tract 35.01; Chittenden County; Vermont,3910,124611,1580,128,50,007,003501,1708,0.07494145199063232,1.0,3910.0,35,census_api
Census Tract 35.02; Chittenden County; Vermont,5510,113333,2040,358,50,007,003502,2398,0.14929107589658047,1.0,5510.0,35,census_api
Census Tract 35.03; Chittenden County; Vermont,1843,91389,729,95,50,007,003503,824,0.11529126213592233,1.0,1843.0,35,census_api
Census Tract 36; Chittenden County; Vermont,4990,70489,804,1707,50,007,003600,2511,0.6798088410991637,1.0,4990.0,35,census_api
Census Tract 39; Chittenden County; Vermont,7705,49519,297,564,50,007,003900,861,0.6550522648083623,1.0,7705.0,35,census_api
Census Tract 40.02; Chittenden County; Vermont,4309,74599,1207,645,50,007,004002,1852,0.3482721382289417,1.0,4309.0,35,census_api
Census Tract 41; Chittenden County; Vermont,2560,32899,84,968,50,007,004100,1052,0.9201520912547528,1.0,2560.0,35,census_api
Census Tract 42; Chittenden County; Vermont,4345,49617,211,1873,50,007,004200,2084,0.8987523992322457,1.0,4345.0,35,census_api
