business_id,business_name,rating,review_count,latitude,longitude,address,city,zip_code,price,is_closed,data_source
SnxoEZM1o-BbTM1xtwONGQ,Bucktown Laundromat & Drop off,4.5,4,41.910276,-87.672732,1801 W North Av,Chicago,60622,,False,yelp_api
vJNp3r94TXKxb_KKH7dykg,Bubbleland,4.0,67,41.9222013321481,-87.6946406767299,2249 N Milwaukee Ave,Chicago,60647,$,False,yelp_api
ZK8awEGfjpZ21wmsNUy7Pw,Easy Breezy Laundry,4.6,59,41.9682699,-87.69904,2807 W Lawrence Ave,Chicago,60625,$$,False,yelp_api
EEZOXmr7X6Qoy_c5shSwLg,WashTime,3.6,21,41.924586,-87.745791,4748 W Fullerton Ave,Chicago,60639,$$,False,yelp_api
SgIuO_1I6vpBhEuxDerHRw,Humboldt Park Bubbles,4.2,9,41.9032664033052,-87.6941673725553,2650 W Division St,Chicago,60622,,False,yelp_api
qzHrcnSBSkcivmUom4wT5A,Mighty Clean Laundry,4.2,66,41.9206025,-87.687671,2128 N Western Ave,Chicago,60647,$,False,yelp_api
1Ro2Gn981rzr7xawNlpMrQ,DelMar Laundry,4.7,3,41.9105446,-87.6882123,2422 W North Ave,Chicago,60647,,False,yelp_api
Mc5IqH9BnU2qhTbDWYXb6w,Wash U Coin Laundry,4.6,56,41.96511,-87.6614,4552 N Magnolia Ave,Chicago,60640,$,False,yelp_api
gssB8ahvIPQEqOJYe8xYEw,Rinse,3.6,69,41.9016,-87.658023,,Chicago,60642,,False,yelp_api
mkbd9u2_NQIUyX9M2yT7Ag,Wash Smart Lavanderia,4.1,29,41.8519470477308,-87.6887814526133,2523 W Cermak Rd,Chicago,60608,$$,False,yelp_api
4vnc-7rgcjb4_wtUt1CDmA,Yo-Yo Coin Laundromat,3.5,52,41.8959751,-87.665535,1515 W Chicago Ave,Chicago,60642,$,False,yelp_api
CA3oQ4ZqpWc7YbKDe5uyGg,Happy Hamper,5.0,8,41.9840702,-87.66103473365028,5620 N Ridge Ave,Chicago,60660,,False,yelp_api
7Yw5kHFELvY-m9zbwuxVNQ,Riverpoint Laundry Service,3.3,62,41.92721029981486,-87.6730370290768,1730 W Fullerton Ave,Chicago,60614,$,False,yelp_api
dCqJ8YQNhtidTVKxBZ4X6w,Village Laundry,2.5,27,41.90094,-87.68665,1055 N Western Ave,Chicago,60622,$,False,yelp_api
K5XewH7fhEqgYQ5N0tS3oQ,Everclean Laundromat,4.0,5,41.89891,-87.7257,957 N Pulaski Rd,Chicago,60651,,False,yelp_api
UFY941bz9OJFHqAp0_Trew,Coachlight,3.5,65,41.94529303646794,-87.64589811068662,3475 N Broadway St,Chicago,60657,$,False,yelp_api
yBI6riTr9vlcLsmqr1hnaw,West Haven Coin Laundry,4.0,5,41.8828739,-87.6853588,2355 W Washington Blvd,Chicago,60612,$,False,yelp_api
3l5x0Rocq5SIb4mnZTH1RA,CD One Price Cleaners,3.3,167,41.93338098,-87.64443331,2815 N Broadway,Chicago,60657,$,False,yelp_api
W00Pm9kdC9JmkE_9NEjTfw,Spin It Up Laundry,4.2,5,41.94881,-87.71325,3710 N Kimball Ave,Chicago,60618,,False,yelp_api
g2SqbeQh38DQ4kKGI2P_Vw,The Friendly Wash Laundromat,3.6,33,41.95198515949255,-87.7083708822066,3858 N Kedzie Ave,Chicago,60618,$$,False,yelp_api
vEhRTRmBdRP-3waFvTKFMQ,The Friendly Wash Laundromat,3.9,10,41.923866,-87.75238,5027 W Fullerton Ave,Chicago,60639,$$,False,yelp_api
lNBo8nTtcTzl1TuPeJctQQ,Spin Cycle,4.8,4,41.8659591674805,-87.7122573852539,3451 W Roosevelt Rd,Chicago,60624,,False,yelp_api
w8Xwy66ttFuLi0-DO9BKbQ,Clean Spin Laundry,4.3,6,41.94066,-87.72586,3273 N Milwaukee Ave,Chicago,60618,,False,yelp_api
cs08yT_hY4r8cpUSGdr9xQ,Speed Queen Laundry,3.3,14,41.94198681581549,-87.72802273038509,3333 N Milwaukee Ave,Chicago,60641,,False,yelp_api
ytvLF7bMah_BRm23p2xCsQ,Aqua Clean Laundry,3.0,10,41.91048,-87.702515,3000 W N Ave,Chicago,60647,,False,yelp_api
RVSgERfLG8Ean7Rd2LVhgw,Leavitt Laundry,4.3,3,41.852058687076,-87.6801381206893,2145 W Cermak Rd,Chicago,60608,,False,yelp_api
3SToMOyVOUM-Fhku6NgVUA,CD One Price Cleaners,0.0,0,41.89602527649913,-87.6775874,2010 W Chicago Ave,Chicago,60622,,False,yelp_api
rhOU2qzgzMb22fKbwV5v3A,Quick Wash,5.0,1,41.937144,-87.7466851,3103 N Cicero Ave,Chicago,60641,,False,yelp_api
-kfOnE9N3rY3XIziXch5iQ,Wash Smart Lavanderia,3.9,19,41.82025,-87.68516,4030 S Western Ave,Chicago,60609,$$,False,yelp_api
yJ8JGd40_z6-rf2zMqKvPw,Laundry World,4.3,12,41.99401913034233,-87.8011542,6165 N Northwest Hwy,Chicago,60631,,False,yelp_api
HD6QsewQj_GaTTw5vOUP4A,Top Coin Laundry,3.9,19,41.970917,-87.728588,4926 N Pulaski Rd,Chicago,60630,$,False,yelp_api
ityzBfpMvkbbY77fjAtiSQ,Wash Smart Lavanderia,4.2,18,41.7715255,-87.7306517,4314 W Marquette Rd,Chicago,60629,$,False,yelp_api
Edq-sxIlNzVxM0nupGM4eg,Wash Smart Lavanderia,4.1,15,41.7933655,-87.7070191,3319 W 55th St,Chicago,60632,$,False,yelp_api
LbaGaQvfnHXAmfUgk1vHvQ,Biltmore Cleaners,3.4,21,41.9831949,-87.709782,3216 W Bryn Mawr Ave,Chicago,60659,$,False,yelp_api
Pn3c-cUJUXFEK7ihwJkCuw,SpinXpress Laundry,5.0,1,41.84293,-87.70301,3107 W 26th St,Chicago,60623,,False,yelp_api
Uk5TJVpeetL62JekyKUWqQ,Spincycle Laundromat,3.1,21,41.994312286377,-87.6901626586914,6200 N Western Ave,Chicago,60659,$,False,yelp_api
DXLmnu-OlQ2Ralni025NQw,Fresh Laundromat,3.7,7,41.85152,-87.70444,3141 W Cermak Rd,Chicago,60623,,False,yelp_api
mksUZWx3L04_OTK4yC4CIQ,Bubbleland On Western,3.6,28,41.8008215465957,-87.6830800250172,5101 S Western Blvd,Chicago,60609,$$,False,yelp_api
YrKpXvTVaQpaxPrZMsywPg,John's Lavanderia,3.3,15,41.85614,-87.66647,1856 S Ashland Ave,Chicago,60608,,False,yelp_api
4LJlIOnGoUEDIKODGxM9nQ,Wash U Laundromat,4.2,5,41.9184718,-87.7264069,2059 N Pulaski Rd,Chicago,60639,,False,yelp_api
XLaD3LVXfKQt4GDY0mKU5A,Easy Clean Laundry,3.8,4,41.95904,-87.70853,4248 N Kedzie Ave,Chicago,60618,,False,yelp_api
nh_N_A-JXlRwuxrC1dCLXg,Quick Wash Laundromat,3.3,11,41.858089,-87.664078,1504 W 18th St,Chicago,60608,,False,yelp_api
gPj2gWptXpZKs34Ym6xUhA,Wash Smart Lavanderia,4.1,10,41.8085973109165,-87.7042280161163,4646 S Kedzie Ave,Chicago,60632,$$,False,yelp_api
n23M_YHJInUY3qgUg-8Vjg,Albany Park Wash & Dry Coin Laundry,4.0,3,41.96863,-87.71654,3516 W Lawrence Ave,Chicago,60625,$,False,yelp_api
kOWRtoZw2uecnv_wdnuUTg,Kedzie Coin Laundry,4.3,6,41.96679,-87.70876,4700 N Kedzie Ave,Chicago,60625,$,False,yelp_api
PjeEEMMv8PynDLCMGMzisw,Jumbo Laundry,2.7,25,41.9687451,-87.6684387,1523 W Lawrence Ave,Chicago,60640,$$,False,yelp_api
Q2ktRtP0SNgqVC7Bx6GetQ,A & L Laundromat,3.3,19,41.97415,-87.69241,5100 N Lincoln Ave,Chicago,60625,$,False,yelp_api
e1fHIilmLO-Nj44fC7xIKQ,Bel-Long Coin Laundry,3.8,8,41.9384851,-87.761968,5403 W Belmont Ave,Chicago,60641,$,False,yelp_api
gOnHAtOVCA7i1f91Ptmnpg,World's Largest Laundromat,3.8,65,41.834607,-87.793423,6246 Cermak Rd,Berwyn,60402,$$,False,yelp_api
tWOsM2CBcMGatcYkXqvJPw,Tide Laundromat - Lakeview,3.5,2,41.93481,-87.67011,2934 N Ashland Ave,Chicago,60657,,False,yelp_api
QyNpcEMcv6GOFHpKXvv-uQ,Fast & Fresh Laundry,5.0,10,41.736833,-88.041683,8270 Janes Ave,Woodridge,60517,,False,yelp_api
bsZJI46UrBIOKUS7gZ32yA,Tumble & Tide,5.0,3,41.79125222270696,-87.8682917,5435 LaGrange Rd B,Countryside,60525,,False,yelp_api
kB1A2d3W8fHsalxd_BZqoA,CleanBlue Laundry,4.1,44,41.77440497093262,-87.99269515613528,1135-1139  Fairview Ave,Westmont,60559,$,False,yelp_api
gNh9n3C-D6vHP4R2448rAQ,Wash Smart Laundry,4.5,15,41.936908,-87.9882522,511 N Addison Rd,Addison,60101,$$,False,yelp_api
B-368x2eNvzzRGA4UtRFIg,Eastgate Laundromat,4.2,40,41.87058562665776,-87.99115775872191,837 Westmore Meyers Rd,Lombard,60148,$$,False,yelp_api
0kO5nCkaOkJ2blMWQX-mwQ,U Wash U Dry Laundromat,5.0,1,41.8631,-87.8769,10141 Roosevelt Rd,Westchester,60154,,False,yelp_api
J4Ahty7FjYKYSP0cosOTJg,Tide Laundromat,4.6,9,41.85608,-87.804307,1730 S Harlem Ave,North Riverside,60546,,False,yelp_api
f-jKV2FyD5pqS1EbpZmLQw,Foxy’s Laundromat,3.9,12,41.8886517,-87.9698015,38 S Villa Ave,Villa Park,60181,,False,yelp_api
pJgj1HfQvp239hcfdNNPgw,Archer Central Coin Laundry,4.3,13,41.7953149,-87.7620972,5885 S Archer Ave,Chicago,60638,$$,False,yelp_api
6JBTROVKdMNLoRgC4oGGMg,Family Sudz Laundromat,3.0,23,41.805793762207,-87.8468246459961,9016 47th St,Brookfield,60513,$$,False,yelp_api
GgxgLUGAbi6swexLuc3csA,Jackie b's laundromat,3.6,12,41.7947974,-87.9942022,5109 Fairview Ave,Downers Grove,60515,,False,yelp_api
2hMBEB6v7BGHcsE0Kr53eA,Soap Opera Laundromat,3.7,27,41.7702246473044,-88.0310913812526,6340 S Woodward Ave,Downers Grove,60516,,False,yelp_api
vqwbtFlLmCLzOkSYpF5BGQ,North Avenue Coin Laundry,4.8,5,41.907554,-87.860641,2160 W North Ave,Melrose Park,60160,$,False,yelp_api
pSZsbFkCuHB4hHiagTMhRA,Sunrise Laundry,4.0,4,41.889171,-87.838523,406 Lake St,Maywood,60153,,False,yelp_api
wtmiTpIaRpR_JyxUAGXW8Q,North Avenue Coin Laundry,3.8,5,41.907171,-87.889477,325 E N Ave,Northlake,60164,,False,yelp_api
0FVxVo_vd_6EMTQH2KNvaQ,Laundry Express,3.0,9,41.81674,-87.839311,8734 Ogden Ave,Lyons,60534,,False,yelp_api
DHClO_Pe7k9_pSEb89LwTA,Fresh Laundromat,4.5,2,41.745267278940936,-87.74030719999999,8105 S Cicero Ave,Chicago,60652,,False,yelp_api
xesfdAzHfxxLihj8LCzfVA,D & K Sunshine Coin Laundry,3.2,5,41.7733462,-87.9825042,325 W 63rd St,Westmont,60559,$$,False,yelp_api
CsBAJ2nTJ3Ocxv5AFCbXBg,Park Avenue Coin Laundry,3.4,41,41.8716448,-87.7937818,910 S Oak Park Ave,Oak Park,60304,$,False,yelp_api
Fwn-6RbgUyHs1bJkXgN5eA,Laundry Basket Laundromat,4.2,5,41.506578,-87.66374,515 Lincoln Hwy,Chicago Heights,60411,,False,yelp_api
C255JxsNyCB-rjFDxB_ZYQ,Sparkling Suds Laundromats,4.0,4,41.71127598442003,-87.7791710516705,9919 Ridgeland Ave,Chicago Ridge,60415,,False,yelp_api
KjQt0QIXDe8RU9QZ-lAQdg,Super Bubble Laundromat,4.0,4,41.8995705,-87.8832626,1559 N Mannheim Rd,Stone Park,60165,,False,yelp_api
tGDzYDunI-ScjOsipLRSkw,The Laundry Room,2.9,9,41.731292,-87.839503,8835 W 87th St,Hickory Hills,60457,$$,False,yelp_api
mFojJxRVK-yhpfK6ND2T4w,Wet Cat Laundromat,5.0,1,41.134578,-87.876451,7 Meadowview Ctr,Kankakee,60901,,False,yelp_api
9o8tm4bimWsjlZ8QXcmgPg,Division Laundromat,5.0,1,41.90046262228625,-87.85408714624519,1620 Division St,Melrose Park,60160,,False,yelp_api
NrOkjIaFrCleY--uQRGPdQ,Busy B Laundromat,3.1,20,41.541082,-87.8892232,19137 Wolf Rd,Mokena,60448,$$,False,yelp_api
cWyXywFl09S9i974iSdeYQ,Route 34 Laundromat,1.0,1,41.820148,-87.820489,7942 Ogden Ave,Lyons,60534,,False,yelp_api
JRbOJkj0ah7wXMelW8pDTg,Washland On Broadway,5.0,1,41.8919214465273,-87.8568226118846,116 N 19th Ave,Melrose Park,60160,,False,yelp_api
_2Fc07h2di4MX1POf8L1CQ,Austin Coin Laundry,4.3,4,41.87991,-87.76451,5533 W Madison St,Chicago,60644,,False,yelp_api
T1KNYLccVPnrJNpytFqkcA,Orland Park Laundromat,3.3,12,41.629878,-87.854679,14315 Jefferson Ave,Orland Park,60462,$,False,yelp_api
ryo8cm-FBqqiHc3LDOLDCw,Grande Coin Laundry,4.0,6,41.904146401217886,-87.99516747292695,629 W North Ave,Villa Park,60181,$,False,yelp_api
g8WIa7c3RXkJCiBsHdgX6g,Hart's Coin Laundry,5.0,1,41.8083851,-87.6737232,1937 W 47th St,Chicago,60609,,False,yelp_api
4XEo_JMSbB_99cTyFmBi0Q,Westgrove Coin Laundry,2.0,12,41.8096353875145,-87.98688973724,347 W Ogden Ave,Westmont,60559,,False,yelp_api
Gyi_aNjV5j4tP2q-r_Pm-w,Falcon Coin Laundromat,2.2,5,41.76789,-87.97357,6601 S Cass Ave,Westmont,60559,,False,yelp_api
DVXnYkP2wsy9Y9NZn5zeLA,Westfield Laundromat,3.0,7,41.7333021,-87.802522,7309 W 87th St,Bridgeview,60455,$$,False,yelp_api
s3QmTkJIMO1-yBqpkySuTg,YNot Laundry,2.0,2,41.858399,-87.978586,1650 S Ardmore Ave,Villa Park,60181,,False,yelp_api
-DSF-YE4xpm0xcsUOTFmDw,A & M Super Wash,2.6,17,41.8647599,-87.8011,7043 Roosevelt Rd,Berwyn,60402,$$,False,yelp_api
loRNBX7q2YlsDhyMkBrrSQ,Leisure Time Laundromat,3.1,7,41.897602,-87.979446,414 N Ardmore Ave,Villa Park,60181,,False,yelp_api
