tract_code,zip_code
802900,60004
803100,60004
803612,60004
803300,60004
803007,60004
803008,60004
803901,60004
803005,60004
803012,60004
803017,60004
803010,60004
803613,60004
803016,60004
802801,60004
802608,60004
803400,60004
803015,60004
802503,60004
803200,60004
770300,60005
803500,60005
803200,60005
805111,60005
805106,60005
805112,60005
805110,60005
805109,60005
803400,60005
802802,60005
803901,60005
805107,60005
803300,60005
805108,60005
803300,60006
804606,60007
770300,60007
770202,60007
770400,60007
804607,60007
770201,60007
804610,60007
770500,60007
980000,60007
803902,60008
770202,60008
803500,60008
804109,60008
770300,60008
804000,60008
804105,60008
805107,60008
805106,60008
804108,60008
804106,60008
805105,60008
804603,60008
803901,60008
770300,60009
804105,60010
804203,60010
803603,60010
803608,60010
804204,60010
804202,60010
804202,60011
801601,60015
801500,60015
770601,60016
804901,60016
806001,60016
806400,60016
806002,60016
806300,60016
806201,60016
805901,60016
806004,60016
806202,60016
806006,60016
804902,60016
806104,60016
805111,60016
806103,60016
802702,60016
806005,60016
805112,60016
806102,60016
770601,60017
770700,60018
770800,60018
770500,60018
770602,60018
805112,60018
980000,60018
806400,60018
806502,60018
806600,60018
770601,60018
806501,60018
801800,60022
800200,60022
800100,60022
801607,60025
801901,60025
802003,60025
801800,60025
808600,60025
805201,60025
801603,60025
801902,60025
806001,60025
805202,60025
800900,60025
802100,60025
802004,60025
802300,60025
801400,60025
805302,60025
802002,60025
802200,60025
802003,60026
801603,60026
802100,60026
802300,60026
801607,60026
801901,60026
801608,60026
802002,60026
808600,60029
803901,60038
800400,60043
800500,60043
800600,60043
803608,60047
803612,60047
808500,60053
805302,60053
807800,60053
808200,60053
808301,60053
808400,60053
808302,60053
805301,60053
808600,60053
803603,60055
805110,60056
805002,60056
805108,60056
806103,60056
804901,60056
802605,60056
802610,60056
802701,60056
802801,60056
802802,60056
802702,60056
803400,60056
805001,60056
805107,60056
805109,60056
805111,60056
802608,60056
804902,60056
801800,60062
801702,60062
801601,60062
801607,60062
801701,60062
801500,60062
802402,60062
801606,60062
802300,60062
801901,60062
801603,60062
801605,60062
801608,60062
801601,60065
803605,60067
804104,60067
804102,60067
803800,60067
803702,60067
804109,60067
803701,60067
803603,60067
803901,60067
804108,60067
803615,60067
804105,60067
803608,60067
804603,60067
804106,60067
803616,60067
803604,60067
806004,60068
805501,60068
805902,60068
805600,60068
805801,60068
805702,60068
805802,60068
805701,60068
810400,60068
090300,60068
805502,60068
805901,60068
806005,60068
806002,60068
802610,60070
802505,60070
802608,60070
802609,60070
803014,60070
801603,60070
802801,60070
803015,60070
802607,60070
802605,60070
803604,60074
803611,60074
803616,60074
803615,60074
803613,60074
803800,60074
803605,60074
803607,60074
803614,60074
803608,60074
803017,60074
803901,60074
808002,60076
806802,60076
807600,60076
807700,60076
807200,60076
806801,60076
807400,60076
806700,60076
807300,60076
807100,60076
806900,60076
807500,60076
807600,60077
807000,60077
807800,60077
806801,60077
808302,60077
806900,60077
807300,60077
807200,60077
806802,60077
807400,60077
807700,60077
803701,60078
800800,60082
803013,60089
803010,60089
803007,60089
803005,60089
802403,60089
803012,60089
802503,60089
802404,60089
802605,60090
802610,60090
802402,60090
802404,60090
802506,60090
802403,60090
803015,60090
802503,60090
803014,60090
802609,60090
803008,60090
802504,60090
802505,60090
800700,60091
801200,60091
801100,60091
808800,60091
801902,60091
801400,60091
801000,60091
800600,60091
800900,60091
801300,60091
800800,60091
800300,60093
800200,60093
801902,60093
800800,60093
800700,60093
800500,60093
800400,60093
800100,60093
801800,60093
800600,60093
801901,60093
803901,60095
804204,60102
804512,60103
804316,60103
804513,60103
804506,60103
804505,60103
804406,60103
804508,60103
804514,60103
818300,60104
816900,60104
818200,60104
817000,60104
816800,60104
817102,60104
817101,60104
804306,60107
804314,60107
804308,60107
804305,60107
804512,60107
804513,60107
804506,60107
804315,60107
804508,60107
804316,60107
804505,60107
804309,60107
804509,60107
804711,60107
804316,60120
804405,60120
804513,60120
804512,60120
804312,60120
804506,60120
804514,60120
804313,60120
804404,60120
804406,60120
804403,60120
804314,60120
816800,60126
818401,60126
815900,60130
812301,60130
812000,60130
812801,60130
816100,60130
816000,60130
811302,60131
811500,60131
811701,60131
811702,60131
811401,60131
980000,60131
811402,60131
811301,60131
811600,60131
811200,60131
804804,60133
804309,60133
804806,60133
804807,60133
804505,60133
804511,60133
804509,60133
804510,60133
804805,60133
817500,60141
817900,60141
770300,60143
817500,60153
817700,60153
816100,60153
817300,60153
817900,60153
817400,60153
817600,60153
817102,60153
817200,60153
818500,60154
818100,60154
818402,60154
818401,60154
818200,60154
818600,60155
817900,60155
818000,60155
770202,60159
804603,60159
816402,60160
811302,60160
816401,60160
816600,60160
816200,60160
816500,60160
816300,60160
811301,60160
817000,60160
811200,60160
816500,60161
816900,60162
818401,60162
818500,60162
816800,60162
818300,60162
818402,60162
816800,60163
816500,60163
811702,60164
811302,60164
816800,60164
811800,60164
811301,60164
816700,60164
811701,60164
811402,60164
816500,60164
816600,60165
816500,60165
804709,60168
804716,60169
804603,60169
804711,60169
804706,60169
804705,60169
804715,60169
804608,60169
804305,60169
804709,60169
804701,60169
804713,60169
804710,60169
804714,60169
811100,60171
811302,60171
811500,60171
811200,60171
804709,60172
804607,60172
804606,60172
804608,60172
804803,60172
804105,60173
804608,60173
804109,60173
804603,60173
804102,60173
804108,60173
770202,60173
804609,60173
811500,60176
770800,60176
811600,60176
980000,60176
804204,60179
804403,60192
804105,60192
804104,60192
804313,60192
804312,60192
804203,60192
804714,60192
804202,60192
804204,60192
804308,60193
804807,60193
804810,60193
804611,60193
804609,60193
804610,60193
804809,60193
804808,60193
804803,60193
804804,60193
804805,60193
804606,60193
804806,60193
804608,60194
804706,60194
804808,60194
804308,60194
804810,60194
804709,60194
804710,60194
804711,60194
804713,60194
804611,60194
804716,60194
804805,60194
804607,60194
804712,60194
804610,60194
804305,60194
804715,60194
804709,60195
804713,60195
804714,60195
804706,60195
804603,60195
804105,60195
804105,60196
804714,60196
804603,60196
809401,60201
809500,60201
808702,60201
808800,60201
809402,60201
809600,60201
806700,60201
809300,60201
809200,60201
809100,60201
808900,60201
809000,60201
010201,60202
810100,60202
810302,60202
809800,60202
807600,60202
810200,60202
810000,60202
810301,60202
809700,60202
809900,60202
809000,60203
806700,60203
807100,60203
809500,60204
808900,60204
809402,60208
809300,60208
809500,60208
808702,60208
808800,60208
812400,60301
812000,60301
812301,60301
812200,60302
813000,60302
812802,60302
812100,60302
812500,60302
812400,60302
812302,60302
812600,60302
812900,60302
812700,60302
812801,60302
812301,60302
812301,60303
252101,60304
815900,60304
812900,60304
813200,60304
813100,60304
812802,60304
813000,60304
816000,60305
812000,60305
811900,60305
815900,60305
815500,60402
815100,60402
814700,60402
815300,60402
815000,60402
814500,60402
820202,60402
820800,60402
814900,60402
815400,60402
814600,60402
820700,60402
815200,60402
814800,60402
816100,60402
823603,60406
823302,60406
823500,60406
824300,60406
821300,60406
821200,60406
826800,60406
823400,60406
821402,60406
824800,60406
825803,60409
826000,60409
826202,60409
827901,60409
825801,60409
825900,60409
826201,60409
826100,60409
825802,60409
825700,60409
829000,60411
829302,60411
829700,60411
828900,60411
829600,60411
828701,60411
829401,60411
829500,60411
828508,60411
828503,60411
828602,60411
829100,60411
828504,60411
828801,60411
829402,60411
829200,60411
828802,60411
828507,60411
828702,60411
829301,60411
828505,60411
828900,60412
822302,60415
823001,60415
822400,60415
823101,60415
823002,60415
829700,60417
828504,60417
823602,60418
824503,60418
823605,60418
824701,60418
824601,60418
824400,60418
824300,60418
823603,60418
826304,60419
827802,60419
826401,60419
826600,60419
826402,60419
825801,60419
826301,60419
826303,60419
826500,60419
826201,60419
829800,60422
829301,60422
829902,60422
828601,60422
828801,60422
830008,60423
830001,60423
830003,60423
829904,60423
828602,60425
828300,60425
828702,60425
828701,60425
828402,60426
827200,60426
828300,60426
824800,60426
824900,60426
827801,60426
827000,60426
826800,60426
827400,60426
826500,60426
827300,60426
826902,60426
827100,60426
826901,60426
827500,60426
825503,60428
824702,60428
825600,60428
825200,60428
827600,60428
824800,60428
825501,60428
824900,60428
827400,60428
828402,60429
829902,60429
825600,60429
825501,60429
825503,60429
828401,60429
827700,60429
825504,60429
827500,60429
825503,60430
829800,60430
828300,60430
825504,60430
828602,60430
828601,60430
829902,60430
828401,60430
828402,60430
828202,60438
827901,60438
828505,60438
828201,60438
828507,60438
828000,60438
827902,60438
828100,60438
824004,60439
824003,60439
824006,60439
824005,60439
830007,60443
830201,60443
830004,60443
830003,60443
830008,60443
830001,60443
830100,60443
830202,60443
830006,60443
829902,60443
824400,60445
824601,60445
824503,60445
825000,60445
824701,60445
824602,60445
824702,60445
824119,60448
830008,60449
825000,60452
825501,60452
824601,60452
824505,60452
824602,60452
825200,60452
824509,60452
824503,60452
825600,60452
824507,60452
825302,60452
824508,60452
822301,60453
823200,60453
823001,60453
822302,60453
822200,60453
822801,60453
822701,60453
822102,60453
822900,60453
822400,60453
822500,60453
822702,60453
822601,60453
822802,60453
822101,60453
822602,60453
822102,60454
820604,60455
820501,60455
821001,60455
822900,60455
820901,60455
823703,60455
820502,60455
822000,60456
823702,60457
823705,60457
820605,60457
823704,60457
820606,60457
823703,60457
820606,60458
820604,60458
820605,60458
820603,60458
820501,60458
821002,60459
820901,60459
820902,60459
821001,60459
821102,60459
821101,60459
829301,60461
830005,60461
830004,60461
824105,60462
824106,60462
823904,60462
823903,60462
824115,60462
823901,60462
824503,60462
824114,60462
824116,60462
824125,60462
824107,60462
823801,60462
824121,60462
824124,60462
824508,60462
823604,60463
823901,60463
824503,60463
823904,60463
823605,60463
823903,60463
823602,60463
824004,60464
823904,60464
823801,60464
823901,60464
823903,60464
823806,60465
823803,60465
823805,60465
823702,60465
823703,60465
823801,60465
830100,60466
830400,60466
830300,60466
830202,60466
829402,60466
823801,60467
824127,60467
824129,60467
824113,60467
824114,60467
824124,60467
824119,60467
824106,60467
824121,60467
824116,60467
824128,60467
826800,60469
824800,60469
830008,60471
830007,60471
830201,60471
824300,60472
824400,60472
823603,60472
827200,60473
826201,60473
827805,60473
827500,60473
826301,60473
827300,60473
827801,60473
828300,60473
827802,60473
827901,60473
827804,60473
826303,60473
829500,60475
829700,60475
829402,60475
829600,60475
828300,60476
824122,60477
824123,60477
829904,60477
824505,60477
824508,60477
824507,60477
825501,60477
825400,60477
825303,60477
825304,60477
825302,60477
829902,60478
825501,60478
825302,60478
825600,60478
825504,60478
829903,60478
825505,60478
829904,60478
820202,60480
820203,60480
820606,60480
823801,60480
823806,60482
823102,60482
823101,60482
823200,60482
