tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 101; Cook County; Illinois,4284,68196,797,1525,17,031,010100,2322,0.656761412575366,1.0,4284.0,35,census_api
Census Tract 102.01; Cook County; Illinois,8210,61071,827,2201,17,031,010201,3028,0.726882430647292,1.0,8210.0,35,census_api
Census Tract 102.02; Cook County; Illinois,2865,58698,290,933,17,031,010202,1223,0.7628781684382666,1.0,2865.0,35,census_api
Census Tract 103; Cook County; Illinois,6237,68336,1118,1929,17,031,010300,3047,0.633081719724319,1.0,6237.0,35,census_api
Census Tract 104; Cook County; Illinois,4473,48630,590,1468,17,031,010400,2058,0.7133138969873664,1.0,4473.0,35,census_api
Census Tract 105.01; Cook County; Illinois,3913,47858,380,2037,17,031,010501,2417,0.8427803061646669,1.0,3913.0,35,census_api
Census Tract 105.02; Cook County; Illinois,3407,55813,407,1175,17,031,010502,1582,0.7427307206068268,1.0,3407.0,35,census_api
Census Tract 105.03; Cook County; Illinois,2417,18750,191,1124,17,031,010503,1315,0.8547528517110267,1.0,2417.0,35,census_api
Census Tract 106; Cook County; Illinois,6379,66313,1118,1825,17,031,010600,2943,0.6201155283724091,1.0,6379.0,35,census_api
Census Tract 107.01; Cook County; Illinois,3590,70542,844,759,17,031,010701,1603,0.47348721147847783,1.0,3590.0,35,census_api
Census Tract 107.02; Cook County; Illinois,5148,52193,407,1508,17,031,010702,1915,0.787467362924282,1.0,5148.0,35,census_api
Census Tract 201; Cook County; Illinois,3927,57029,580,1099,17,031,020100,1679,0.6545562835020846,1.0,3927.0,35,census_api
Census Tract 202; Cook County; Illinois,7203,117005,1536,453,17,031,020200,1989,0.2277526395173454,1.0,7203.0,35,census_api
Census Tract 203.01; Cook County; Illinois,5432,73539,1563,652,17,031,020301,2215,0.2943566591422122,1.0,5432.0,35,census_api
Census Tract 203.02; Cook County; Illinois,5201,84205,1091,645,17,031,020302,1736,0.3715437788018433,1.0,5201.0,35,census_api
Census Tract 204; Cook County; Illinois,4256,76607,777,892,17,031,020400,1669,0.5344517675254643,1.0,4256.0,35,census_api
Census Tract 205; Cook County; Illinois,6646,43948,608,1613,17,031,020500,2221,0.7262494371904548,1.0,6646.0,35,census_api
Census Tract 206.01; Cook County; Illinois,5868,61046,1110,948,17,031,020601,2058,0.4606413994169096,1.0,5868.0,35,census_api
Census Tract 206.02; Cook County; Illinois,5343,83839,855,747,17,031,020602,1602,0.46629213483146065,1.0,5343.0,35,census_api
Census Tract 207.01; Cook County; Illinois,1728,92024,533,231,17,031,020701,764,0.3023560209424084,1.0,1728.0,35,census_api
Census Tract 207.02; Cook County; Illinois,8412,68897,1007,1476,17,031,020702,2483,0.594442207007652,1.0,8412.0,35,census_api
Census Tract 208.01; Cook County; Illinois,5990,71953,985,1190,17,031,020801,2175,0.5471264367816092,1.0,5990.0,35,census_api
Census Tract 208.02; Cook County; Illinois,8715,62212,737,1394,17,031,020802,2131,0.65415297982168,1.0,8715.0,35,census_api
Census Tract 209.01; Cook County; Illinois,6179,50243,803,1394,17,031,020901,2197,0.6345015930814747,1.0,6179.0,35,census_api
Census Tract 209.02; Cook County; Illinois,4365,49432,684,913,17,031,020902,1597,0.5716969317470256,1.0,4365.0,35,census_api
Census Tract 301.01; Cook County; Illinois,3517,50696,661,1386,17,031,030101,2047,0.6770884220810943,1.0,3517.0,35,census_api
Census Tract 301.02; Cook County; Illinois,3052,55067,809,1069,17,031,030102,1878,0.5692225772097976,1.0,3052.0,35,census_api
Census Tract 301.03; Cook County; Illinois,2297,53684,298,732,17,031,030103,1030,0.7106796116504854,1.0,2297.0,35,census_api
Census Tract 301.04; Cook County; Illinois,3106,45865,388,603,17,031,030104,991,0.6084762865792129,1.0,3106.0,35,census_api
Census Tract 302; Cook County; Illinois,5554,91406,1236,1339,17,031,030200,2575,0.52,1.0,5554.0,35,census_api
Census Tract 303; Cook County; Illinois,3642,64662,498,992,17,031,030300,1490,0.6657718120805369,1.0,3642.0,35,census_api
Census Tract 304; Cook County; Illinois,2822,97143,434,844,17,031,030400,1278,0.6604068857589984,1.0,2822.0,35,census_api
Census Tract 305; Cook County; Illinois,6344,109375,1514,1469,17,031,030500,2983,0.49245725779416694,1.0,6344.0,35,census_api
Census Tract 306.01; Cook County; Illinois,3771,51808,503,1380,17,031,030601,1883,0.7328730748805098,1.0,3771.0,35,census_api
Census Tract 306.03; Cook County; Illinois,2305,54300,170,1190,17,031,030603,1360,0.875,1.0,2305.0,35,census_api
Census Tract 306.04; Cook County; Illinois,2921,49816,586,1523,17,031,030604,2109,0.7221431958274064,1.0,2921.0,35,census_api
Census Tract 307.01; Cook County; Illinois,1509,47614,150,727,17,031,030701,877,0.8289623717217788,1.0,1509.0,35,census_api
Census Tract 307.02; Cook County; Illinois,2266,69050,907,607,17,031,030702,1514,0.4009247027741083,1.0,2266.0,35,census_api
Census Tract 307.03; Cook County; Illinois,3093,56667,491,1423,17,031,030703,1914,0.7434691745036572,1.0,3093.0,35,census_api
Census Tract 307.06; Cook County; Illinois,2588,54143,733,1149,17,031,030706,1882,0.6105207226354942,1.0,2588.0,35,census_api
Census Tract 308; Cook County; Illinois,4236,96069,856,1311,17,031,030800,2167,0.6049838486386709,1.0,4236.0,35,census_api
Census Tract 309; Cook County; Illinois,3076,102309,690,791,17,031,030900,1481,0.5340985820391627,1.0,3076.0,35,census_api
Census Tract 310; Cook County; Illinois,3652,121026,935,1049,17,031,031000,1984,0.5287298387096774,1.0,3652.0,35,census_api
Census Tract 311; Cook County; Illinois,4898,79010,535,2326,17,031,031100,2861,0.8130024466969591,1.0,4898.0,35,census_api
Census Tract 312; Cook County; Illinois,5936,24389,585,2872,17,031,031200,3457,0.8307781313277408,1.0,5936.0,35,census_api
Census Tract 313; Cook County; Illinois,6853,64598,1618,2884,17,031,031300,4502,0.6406041759218125,1.0,6853.0,35,census_api
Census Tract 314; Cook County; Illinois,4685,82526,1502,1585,17,031,031400,3087,0.5134434726271461,1.0,4685.0,35,census_api
Census Tract 315.01; Cook County; Illinois,4640,48889,387,1609,17,031,031501,1996,0.8061122244488977,1.0,4640.0,35,census_api
Census Tract 315.02; Cook County; Illinois,4622,47188,309,2136,17,031,031502,2445,0.8736196319018404,1.0,4622.0,35,census_api
Census Tract 317; Cook County; Illinois,6119,84766,1273,1834,17,031,031700,3107,0.5902800128741551,1.0,6119.0,35,census_api
Census Tract 318; Cook County; Illinois,2114,80873,414,627,17,031,031800,1041,0.6023054755043228,1.0,2114.0,35,census_api
Census Tract 319; Cook County; Illinois,2417,93864,480,858,17,031,031900,1338,0.6412556053811659,1.0,2417.0,35,census_api
Census Tract 321; Cook County; Illinois,7279,69313,1039,3168,17,031,032100,4207,0.7530306631804136,1.0,7279.0,35,census_api
Census Tract 401; Cook County; Illinois,4011,93576,901,974,17,031,040100,1875,0.5194666666666666,1.0,4011.0,35,census_api
Census Tract 402.01; Cook County; Illinois,6688,99624,1312,1700,17,031,040201,3012,0.5644090305444888,1.0,6688.0,35,census_api
Census Tract 402.02; Cook County; Illinois,7965,58293,992,1916,17,031,040202,2908,0.6588720770288858,1.0,7965.0,35,census_api
Census Tract 403; Cook County; Illinois,3063,86979,685,464,17,031,040300,1149,0.40382941688424717,1.0,3063.0,35,census_api
