tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 1; Fulton County; Georgia,5160,154808,1545,913,13,121,000100,2458,0.37144019528071603,1.0,5160.0,35,census_api
Census Tract 2.01; Fulton County; Georgia,2233,120982,805,415,13,121,000201,1220,0.3401639344262295,1.0,2233.0,35,census_api
Census Tract 2.02; Fulton County; Georgia,4106,182409,1420,261,13,121,000202,1681,0.1552647233789411,1.0,4106.0,35,census_api
Census Tract 4; Fulton County; Georgia,2014,127500,712,352,13,121,000400,1064,0.3308270676691729,1.0,2014.0,35,census_api
Census Tract 5.01; Fulton County; Georgia,4385,103485,1187,1229,13,121,000501,2416,0.5086920529801324,1.0,4385.0,35,census_api
Census Tract 5.02; Fulton County; Georgia,1779,120357,653,163,13,121,000502,816,0.19975490196078433,1.0,1779.0,35,census_api
Census Tract 6.01; Fulton County; Georgia,4626,76346,191,1623,13,121,000601,1814,0.8947078280044102,1.0,4626.0,35,census_api
Census Tract 6.02; Fulton County; Georgia,2960,65391,481,1183,13,121,000602,1664,0.7109375,1.0,2960.0,35,census_api
Census Tract 7; Fulton County; Georgia,2897,103167,251,141,13,121,000700,392,0.3596938775510204,1.0,2897.0,35,census_api
Census Tract 10.01; Fulton County; Georgia,4800,100278,709,1515,13,121,001001,2224,0.6812050359712231,1.0,4800.0,35,census_api
Census Tract 10.02; Fulton County; Georgia,7337,43938,8,677,13,121,001002,685,0.9883211678832117,1.0,7337.0,35,census_api
Census Tract 11.01; Fulton County; Georgia,3405,123250,1769,500,13,121,001101,2269,0.22036139268400176,1.0,3405.0,35,census_api
Census Tract 11.02; Fulton County; Georgia,3488,113689,548,2043,13,121,001102,2591,0.7884986491702045,1.0,3488.0,35,census_api
Census Tract 12.03; Fulton County; Georgia,2717,73066,298,1619,13,121,001203,1917,0.844548774126239,1.0,2717.0,35,census_api
Census Tract 12.04; Fulton County; Georgia,1939,104414,788,626,13,121,001204,1414,0.44271570014144274,1.0,1939.0,35,census_api
Census Tract 12.05; Fulton County; Georgia,1973,100245,849,646,13,121,001205,1495,0.43210702341137125,1.0,1973.0,35,census_api
Census Tract 12.06; Fulton County; Georgia,3319,126410,1429,1023,13,121,001206,2452,0.41721044045676997,1.0,3319.0,35,census_api
Census Tract 13.01; Fulton County; Georgia,3271,71086,428,1233,13,121,001301,1661,0.7423239012642986,1.0,3271.0,35,census_api
Census Tract 13.02; Fulton County; Georgia,2050,129750,626,487,13,121,001302,1113,0.43755615453728663,1.0,2050.0,35,census_api
Census Tract 14; Fulton County; Georgia,2302,91943,581,908,13,121,001400,1489,0.6098052384150436,1.0,2302.0,35,census_api
Census Tract 15.01; Fulton County; Georgia,2334,63867,272,1211,13,121,001501,1483,0.8165879973027647,1.0,2334.0,35,census_api
Census Tract 15.02; Fulton County; Georgia,2127,87206,524,510,13,121,001502,1034,0.4932301740812379,1.0,2127.0,35,census_api
