tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 1000.01; Harris County; Texas,5256,84213,20,2995,48,201,100001,3015,0.9933665008291874,1.0,5256.0,35,census_api
Census Tract 2104; Harris County; Texas,3983,51964,672,786,48,201,210400,1458,0.5390946502057613,1.0,3983.0,35,census_api
Census Tract 2105; Harris County; Texas,4711,44792,857,908,48,201,210500,1765,0.5144475920679886,1.0,4711.0,35,census_api
Census Tract 2106; Harris County; Texas,5821,83257,1576,769,48,201,210600,2345,0.3279317697228145,1.0,5821.0,35,census_api
Census Tract 2107; Harris County; Texas,2534,49588,612,319,48,201,210700,931,0.3426423200859291,1.0,2534.0,35,census_api
Census Tract 2108; Harris County; Texas,2106,39410,275,638,48,201,210800,913,0.6987951807228916,1.0,2106.0,35,census_api
Census Tract 2109; Harris County; Texas,1676,37235,351,312,48,201,210900,663,0.47058823529411764,1.0,1676.0,35,census_api
Census Tract 2110; Harris County; Texas,1813,28185,404,361,48,201,211000,765,0.4718954248366013,1.0,1813.0,35,census_api
Census Tract 2111.01; Harris County; Texas,3240,40686,387,525,48,201,211101,912,0.5756578947368421,1.0,3240.0,35,census_api
Census Tract 2111.02; Harris County; Texas,2215,29668,272,476,48,201,211102,748,0.6363636363636364,1.0,2215.0,35,census_api
Census Tract 2112; Harris County; Texas,2207,22887,380,697,48,201,211200,1077,0.6471680594243269,1.0,2207.0,35,census_api
Census Tract 2113.01; Harris County; Texas,2590,38920,358,529,48,201,211301,887,0.5963923337091319,1.0,2590.0,35,census_api
Census Tract 2113.02; Harris County; Texas,2704,37757,391,902,48,201,211302,1293,0.6976024748646559,1.0,2704.0,35,census_api
Census Tract 2114; Harris County; Texas,4127,52862,761,885,48,201,211400,1646,0.5376670716889429,1.0,4127.0,35,census_api
Census Tract 2115.01; Harris County; Texas,3034,39461,541,385,48,201,211501,926,0.41576673866090713,1.0,3034.0,35,census_api
Census Tract 2115.02; Harris County; Texas,2909,50192,508,372,48,201,211502,880,0.42272727272727273,1.0,2909.0,35,census_api
Census Tract 2116; Harris County; Texas,2945,46389,612,512,48,201,211600,1124,0.4555160142348754,1.0,2945.0,35,census_api
Census Tract 2117; Harris County; Texas,3707,29131,664,719,48,201,211700,1383,0.519884309472162,1.0,3707.0,35,census_api
Census Tract 2119; Harris County; Texas,5157,46495,1072,607,48,201,211900,1679,0.36152471709350803,1.0,5157.0,35,census_api
Census Tract 2123; Harris County; Texas,4554,38281,735,1143,48,201,212300,1878,0.6086261980830671,1.0,4554.0,35,census_api
Census Tract 2124; Harris County; Texas,3198,42163,648,326,48,201,212400,974,0.3347022587268994,1.0,3198.0,35,census_api
Census Tract 2125; Harris County; Texas,3517,50957,906,526,48,201,212500,1432,0.36731843575418993,1.0,3517.0,35,census_api
Census Tract 2201; Harris County; Texas,1571,34906,357,259,48,201,220100,616,0.42045454545454547,1.0,1571.0,35,census_api
Census Tract 2202; Harris County; Texas,2313,59783,376,376,48,201,220200,752,0.5,1.0,2313.0,35,census_api
Census Tract 2203; Harris County; Texas,4162,49911,753,523,48,201,220300,1276,0.4098746081504702,1.0,4162.0,35,census_api
Census Tract 2204; Harris County; Texas,4895,44702,755,744,48,201,220400,1499,0.4963308872581721,1.0,4895.0,35,census_api
Census Tract 2205; Harris County; Texas,3310,21619,322,1215,48,201,220500,1537,0.7905009759271308,1.0,3310.0,35,census_api
Census Tract 2206; Harris County; Texas,3137,33777,459,430,48,201,220600,889,0.48368953880764903,1.0,3137.0,35,census_api
Census Tract 2207.01; Harris County; Texas,3039,30714,466,452,48,201,220701,918,0.4923747276688453,1.0,3039.0,35,census_api
Census Tract 2207.02; Harris County; Texas,3541,28594,533,666,48,201,220702,1199,0.5554628857381151,1.0,3541.0,35,census_api
Census Tract 2208; Harris County; Texas,3897,27480,258,926,48,201,220800,1184,0.7820945945945946,1.0,3897.0,35,census_api
Census Tract 2209; Harris County; Texas,1670,25750,149,470,48,201,220900,619,0.7592891760904685,1.0,1670.0,35,census_api
Census Tract 2210; Harris County; Texas,3827,40101,533,598,48,201,221000,1131,0.5287356321839081,1.0,3827.0,35,census_api
Census Tract 2211; Harris County; Texas,3702,50833,626,392,48,201,221100,1018,0.3850687622789784,1.0,3702.0,35,census_api
Census Tract 2212; Harris County; Texas,5609,46531,975,491,48,201,221200,1466,0.334924965893588,1.0,5609.0,35,census_api
Census Tract 2213.01; Harris County; Texas,4241,63841,871,334,48,201,221301,1205,0.27717842323651454,1.0,4241.0,35,census_api
Census Tract 2213.02; Harris County; Texas,3647,48081,586,400,48,201,221302,986,0.4056795131845842,1.0,3647.0,35,census_api
Census Tract 2214; Harris County; Texas,6414,31414,796,1107,48,201,221400,1903,0.581713084603258,1.0,6414.0,35,census_api
Census Tract 2215.01; Harris County; Texas,5636,33273,744,807,48,201,221501,1551,0.5203094777562862,1.0,5636.0,35,census_api
Census Tract 2215.02; Harris County; Texas,3321,29781,96,1031,48,201,221502,1127,0.9148181011535049,1.0,3321.0,35,census_api
Census Tract 2216.01; Harris County; Texas,3277,53906,755,97,48,201,221601,852,0.11384976525821597,1.0,3277.0,35,census_api
Census Tract 2216.02; Harris County; Texas,5411,61176,1246,416,48,201,221602,1662,0.2503008423586041,1.0,5411.0,35,census_api
Census Tract 2217.01; Harris County; Texas,5488,46090,740,687,48,201,221701,1427,0.48142957252978275,1.0,5488.0,35,census_api
Census Tract 2217.02; Harris County; Texas,3003,36772,665,259,48,201,221702,924,0.2803030303030303,1.0,3003.0,35,census_api
Census Tract 2218; Harris County; Texas,4597,44971,794,470,48,201,221800,1264,0.37183544303797467,1.0,4597.0,35,census_api
Census Tract 2219; Harris County; Texas,5231,47299,930,316,48,201,221900,1246,0.2536115569823435,1.0,5231.0,35,census_api
Census Tract 2220; Harris County; Texas,2349,38021,346,152,48,201,222000,498,0.30522088353413657,1.0,2349.0,35,census_api
Census Tract 2221; Harris County; Texas,4750,37852,860,500,48,201,222100,1360,0.36764705882352944,1.0,4750.0,35,census_api
Census Tract 2222; Harris County; Texas,3044,57026,472,793,48,201,222200,1265,0.6268774703557313,1.0,3044.0,35,census_api
Census Tract 2223; Harris County; Texas,4984,40858,1034,343,48,201,222300,1377,0.24909222948438633,1.0,4984.0,35,census_api
Census Tract 2224.01; Harris County; Texas,2937,41272,513,352,48,201,222401,865,0.4069364161849711,1.0,2937.0,35,census_api
Census Tract 2224.02; Harris County; Texas,6678,38587,1024,820,48,201,222402,1844,0.44468546637744033,1.0,6678.0,35,census_api
Census Tract 2225.01; Harris County; Texas,3233,36352,188,713,48,201,222501,901,0.7913429522752498,1.0,3233.0,35,census_api
Census Tract 2225.02; Harris County; Texas,3719,51824,819,252,48,201,222502,1071,0.23529411764705882,1.0,3719.0,35,census_api
Census Tract 2225.04; Harris County; Texas,3571,35938,132,846,48,201,222504,978,0.8650306748466258,1.0,3571.0,35,census_api
Census Tract 2225.05; Harris County; Texas,3351,64022,796,92,48,201,222505,888,0.1036036036036036,1.0,3351.0,35,census_api
Census Tract 2226.01; Harris County; Texas,2082,31618,0,656,48,201,222601,656,1.0,1.0,2082.0,35,census_api
Census Tract 2226.02; Harris County; Texas,2459,33063,0,1051,48,201,222602,1051,1.0,1.0,2459.0,35,census_api
Census Tract 2227.01; Harris County; Texas,2597,11936,207,697,48,201,222701,904,0.7710176991150443,1.0,2597.0,35,census_api
Census Tract 2227.02; Harris County; Texas,3832,31720,128,1484,48,201,222702,1612,0.9205955334987593,1.0,3832.0,35,census_api
Census Tract 2228; Harris County; Texas,4350,36348,548,413,48,201,222800,961,0.4297606659729448,1.0,4350.0,35,census_api
Census Tract 2229; Harris County; Texas,8047,52786,1513,530,48,201,222900,2043,0.25942241801272636,1.0,8047.0,35,census_api
Census Tract 2230.01; Harris County; Texas,4117,49671,756,349,48,201,223001,1105,0.3158371040723982,1.0,4117.0,35,census_api
Census Tract 2230.02; Harris County; Texas,2902,37438,461,612,48,201,223002,1073,0.570363466915191,1.0,2902.0,35,census_api
Census Tract 2231; Harris County; Texas,2433,71500,565,67,48,201,223100,632,0.1060126582278481,1.0,2433.0,35,census_api
Census Tract 2301; Harris County; Texas,1380,44448,102,519,48,201,230100,621,0.8357487922705314,1.0,1380.0,35,census_api
Census Tract 2302; Harris County; Texas,4860,33262,904,925,48,201,230200,1829,0.5057408419901586,1.0,4860.0,35,census_api
Census Tract 2303; Harris County; Texas,2126,40691,446,322,48,201,230300,768,0.4192708333333333,1.0,2126.0,35,census_api
Census Tract 2304; Harris County; Texas,3923,52989,551,640,48,201,230400,1191,0.5373635600335852,1.0,3923.0,35,census_api
Census Tract 2305; Harris County; Texas,4078,46003,1051,196,48,201,230500,1247,0.15717722534081796,1.0,4078.0,35,census_api
Census Tract 2306; Harris County; Texas,2983,41096,625,329,48,201,230600,954,0.3448637316561845,1.0,2983.0,35,census_api
Census Tract 2307; Harris County; Texas,2727,32095,396,662,48,201,230700,1058,0.6257088846880907,1.0,2727.0,35,census_api
Census Tract 2308; Harris County; Texas,2136,43293,588,202,48,201,230800,790,0.25569620253164554,1.0,2136.0,35,census_api
Census Tract 2309; Harris County; Texas,4473,27981,735,935,48,201,230900,1670,0.5598802395209581,1.0,4473.0,35,census_api
Census Tract 2310; Harris County; Texas,5795,39015,1242,408,48,201,231000,1650,0.24727272727272728,1.0,5795.0,35,census_api
Census Tract 2311; Harris County; Texas,5256,30783,858,603,48,201,231100,1461,0.4127310061601643,1.0,5256.0,35,census_api
Census Tract 2312; Harris County; Texas,6230,36503,1225,1225,48,201,231200,2450,0.5,1.0,6230.0,35,census_api
Census Tract 2313; Harris County; Texas,4891,43983,902,699,48,201,231300,1601,0.43660212367270457,1.0,4891.0,35,census_api
Census Tract 2314; Harris County; Texas,2973,46363,919,236,48,201,231400,1155,0.20432900432900433,1.0,2973.0,35,census_api
Census Tract 2315; Harris County; Texas,2866,44942,520,344,48,201,231500,864,0.39814814814814814,1.0,2866.0,35,census_api
Census Tract 2316; Harris County; Texas,3377,39058,907,211,48,201,231600,1118,0.1887298747763864,1.0,3377.0,35,census_api
Census Tract 2317; Harris County; Texas,4588,34446,765,402,48,201,231700,1167,0.3444730077120823,1.0,4588.0,35,census_api
Census Tract 2318; Harris County; Texas,3132,54792,617,248,48,201,231800,865,0.28670520231213875,1.0,3132.0,35,census_api
Census Tract 2319; Harris County; Texas,6511,37420,1239,887,48,201,231900,2126,0.4172154280338664,1.0,6511.0,35,census_api
Census Tract 2320; Harris County; Texas,4707,41795,957,421,48,201,232000,1378,0.30551523947750364,1.0,4707.0,35,census_api
Census Tract 2321; Harris County; Texas,3918,44196,560,499,48,201,232100,1059,0.4711992445703494,1.0,3918.0,35,census_api
Census Tract 2322.01; Harris County; Texas,7323,73346,1177,662,48,201,232201,1839,0.35997824904839587,1.0,7323.0,35,census_api
Census Tract 2322.02; Harris County; Texas,5460,149274,1573,73,48,201,232202,1646,0.044349939246658567,1.0,5460.0,35,census_api
Census Tract 2322.03; Harris County; Texas,5936,67512,1288,1386,48,201,232203,2674,0.518324607329843,1.0,5936.0,35,census_api
Census Tract 2323.03; Harris County; Texas,5298,41970,1117,519,48,201,232303,1636,0.31723716381418093,1.0,5298.0,35,census_api
Census Tract 2323.04; Harris County; Texas,7258,44106,1012,1230,48,201,232304,2242,0.5486173059768065,1.0,7258.0,35,census_api
Census Tract 2323.05; Harris County; Texas,10603,62784,2676,403,48,201,232305,3079,0.1308866515102306,1.0,10603.0,35,census_api
Census Tract 2323.06; Harris County; Texas,3896,76200,713,171,48,201,232306,884,0.19343891402714933,1.0,3896.0,35,census_api
Census Tract 2324.02; Harris County; Texas,4753,67433,728,579,48,201,232402,1307,0.4429992348890589,1.0,4753.0,35,census_api
Census Tract 2324.03; Harris County; Texas,4184,61944,710,752,48,201,232403,1462,0.5143638850889193,1.0,4184.0,35,census_api
Census Tract 2324.04; Harris County; Texas,3854,71120,777,240,48,201,232404,1017,0.2359882005899705,1.0,3854.0,35,census_api
Census Tract 2324.05; Harris County; Texas,5917,77797,1356,402,48,201,232405,1758,0.22866894197952217,1.0,5917.0,35,census_api
Census Tract 2325; Harris County; Texas,4210,41694,589,384,48,201,232500,973,0.394655704008222,1.0,4210.0,35,census_api
Census Tract 2326; Harris County; Texas,2678,61957,821,163,48,201,232600,984,0.16565040650406504,1.0,2678.0,35,census_api
Census Tract 2327.01; Harris County; Texas,7941,37103,758,1786,48,201,232701,2544,0.7020440251572327,1.0,7941.0,35,census_api
Census Tract 2327.03; Harris County; Texas,2297,46190,46,766,48,201,232703,812,0.9433497536945813,1.0,2297.0,35,census_api
Census Tract 2327.04; Harris County; Texas,2096,56111,323,433,48,201,232704,756,0.5727513227513228,1.0,2096.0,35,census_api
Census Tract 2328.01; Harris County; Texas,2729,66466,344,762,48,201,232801,1106,0.6889692585895117,1.0,2729.0,35,census_api
Census Tract 2328.02; Harris County; Texas,2822,50857,478,481,48,201,232802,959,0.5015641293013556,1.0,2822.0,35,census_api
Census Tract 2329.01; Harris County; Texas,4919,52344,672,1009,48,201,232901,1681,0.6002379535990482,1.0,4919.0,35,census_api
Census Tract 2329.02; Harris County; Texas,4499,60438,422,1178,48,201,232902,1600,0.73625,1.0,4499.0,35,census_api
Census Tract 2330.01; Harris County; Texas,3860,40998,371,930,48,201,233001,1301,0.7148347425057648,1.0,3860.0,35,census_api
Census Tract 2330.02; Harris County; Texas,4484,94625,1211,66,48,201,233002,1277,0.05168363351605325,1.0,4484.0,35,census_api
Census Tract 2330.03; Harris County; Texas,2734,73750,695,113,48,201,233003,808,0.13985148514851486,1.0,2734.0,35,census_api
Census Tract 2331.01; Harris County; Texas,4620,46568,585,787,48,201,233101,1372,0.5736151603498543,1.0,4620.0,35,census_api
Census Tract 2331.03; Harris County; Texas,5139,45095,719,818,48,201,233103,1537,0.5322055953155498,1.0,5139.0,35,census_api
Census Tract 2331.04; Harris County; Texas,2748,41583,477,311,48,201,233104,788,0.3946700507614213,1.0,2748.0,35,census_api
Census Tract 2331.05; Harris County; Texas,4679,38571,493,651,48,201,233105,1144,0.5690559440559441,1.0,4679.0,35,census_api
Census Tract 2332; Harris County; Texas,6664,60319,1420,456,48,201,233200,1876,0.24307036247334754,1.0,6664.0,35,census_api
Census Tract 2333; Harris County; Texas,4750,61521,844,540,48,201,233300,1384,0.3901734104046243,1.0,4750.0,35,census_api
Census Tract 2334; Harris County; Texas,2662,40203,384,591,48,201,233400,975,0.6061538461538462,1.0,2662.0,35,census_api
Census Tract 2335.01; Harris County; Texas,3800,66515,967,111,48,201,233501,1078,0.10296846011131726,1.0,3800.0,35,census_api
Census Tract 2335.02; Harris County; Texas,3127,64041,747,284,48,201,233502,1031,0.2754607177497575,1.0,3127.0,35,census_api
Census Tract 2336; Harris County; Texas,1953,33885,444,285,48,201,233600,729,0.39094650205761317,1.0,1953.0,35,census_api
Census Tract 2337.01; Harris County; Texas,4363,41611,960,379,48,201,233701,1339,0.2830470500373413,1.0,4363.0,35,census_api
Census Tract 2337.02; Harris County; Texas,3035,35826,362,368,48,201,233702,730,0.5041095890410959,1.0,3035.0,35,census_api
Census Tract 2337.03; Harris County; Texas,3037,65972,589,184,48,201,233703,773,0.23803363518758086,1.0,3037.0,35,census_api
Census Tract 2401.01; Harris County; Texas,2462,38696,0,750,48,201,240101,750,1.0,1.0,2462.0,35,census_api
Census Tract 2401.02; Harris County; Texas,1829,35579,48,701,48,201,240102,749,0.9359145527369827,1.0,1829.0,35,census_api
Census Tract 2404; Harris County; Texas,7976,55625,1650,1032,48,201,240400,2682,0.38478747203579416,1.0,7976.0,35,census_api
Census Tract 2405.03; Harris County; Texas,2882,39737,0,1076,48,201,240503,1076,1.0,1.0,2882.0,35,census_api
Census Tract 2405.04; Harris County; Texas,3693,34386,111,1322,48,201,240504,1433,0.9225401256106072,1.0,3693.0,35,census_api
Census Tract 2405.05; Harris County; Texas,1318,22560,0,596,48,201,240505,596,1.0,1.0,1318.0,35,census_api
Census Tract 2405.06; Harris County; Texas,5767,41563,395,1619,48,201,240506,2014,0.8038728897715988,1.0,5767.0,35,census_api
Census Tract 2406; Harris County; Texas,3582,29744,17,1160,48,201,240600,1177,0.9855564995751912,1.0,3582.0,35,census_api
Census Tract 2407.03; Harris County; Texas,5843,64959,1010,880,48,201,240703,1890,0.4656084656084656,1.0,5843.0,35,census_api
Census Tract 2407.04; Harris County; Texas,4545,91328,866,374,48,201,240704,1240,0.3016129032258065,1.0,4545.0,35,census_api
Census Tract 2407.05; Harris County; Texas,3984,85651,930,509,48,201,240705,1439,0.3537178596247394,1.0,3984.0,35,census_api
Census Tract 2407.06; Harris County; Texas,9675,70609,2177,905,48,201,240706,3082,0.2936404931862427,1.0,9675.0,35,census_api
Census Tract 2407.07; Harris County; Texas,5433,82024,1385,216,48,201,240707,1601,0.13491567770143661,1.0,5433.0,35,census_api
Census Tract 2408.02; Harris County; Texas,8783,68963,1329,1332,48,201,240802,2661,0.5005636978579482,1.0,8783.0,35,census_api
Census Tract 2408.03; Harris County; Texas,2562,46067,509,543,48,201,240803,1052,0.5161596958174905,1.0,2562.0,35,census_api
Census Tract 2408.04; Harris County; Texas,2899,39550,0,1419,48,201,240804,1419,1.0,1.0,2899.0,35,census_api
Census Tract 2409.03; Harris County; Texas,7185,88716,1712,290,48,201,240903,2002,0.14485514485514486,1.0,7185.0,35,census_api
Census Tract 2409.04; Harris County; Texas,9399,76649,2339,886,48,201,240904,3225,0.27472868217054264,1.0,9399.0,35,census_api
Census Tract 2409.05; Harris County; Texas,5517,84433,648,1114,48,201,240905,1762,0.6322360953461975,1.0,5517.0,35,census_api
Census Tract 2409.06; Harris County; Texas,7766,78640,1714,595,48,201,240906,2309,0.2576873105240364,1.0,7766.0,35,census_api
Census Tract 2410.01; Harris County; Texas,3952,72326,921,503,48,201,241001,1424,0.3532303370786517,1.0,3952.0,35,census_api
Census Tract 2410.02; Harris County; Texas,5439,72152,1400,188,48,201,241002,1588,0.11838790931989925,1.0,5439.0,35,census_api
Census Tract 2411.01; Harris County; Texas,5197,75078,1279,238,48,201,241101,1517,0.15688859591298615,1.0,5197.0,35,census_api
Census Tract 2411.03; Harris County; Texas,3957,76513,932,513,48,201,241103,1445,0.3550173010380623,1.0,3957.0,35,census_api
Census Tract 2411.04; Harris County; Texas,9303,98017,2213,737,48,201,241104,2950,0.24983050847457627,1.0,9303.0,35,census_api
Census Tract 2411.05; Harris County; Texas,5816,73235,896,866,48,201,241105,1762,0.49148694665153236,1.0,5816.0,35,census_api
Census Tract 2412.01; Harris County; Texas,3314,70472,793,310,48,201,241201,1103,0.2810516772438803,1.0,3314.0,35,census_api
Census Tract 2412.02; Harris County; Texas,4772,68117,999,644,48,201,241202,1643,0.39196591600730374,1.0,4772.0,35,census_api
Census Tract 2413.01; Harris County; Texas,4568,108008,1380,289,48,201,241301,1669,0.1731575793888556,1.0,4568.0,35,census_api
Census Tract 2413.02; Harris County; Texas,8254,110887,2368,429,48,201,241302,2797,0.15337861994994637,1.0,8254.0,35,census_api
Census Tract 2414; Harris County; Texas,10239,93981,2589,1257,48,201,241400,3846,0.32683307332293293,1.0,10239.0,35,census_api
Census Tract 2415.01; Harris County; Texas,3964,57092,370,1528,48,201,241501,1898,0.8050579557428873,1.0,3964.0,35,census_api
Census Tract 2415.02; Harris County; Texas,2098,55074,104,694,48,201,241502,798,0.8696741854636592,1.0,2098.0,35,census_api
Census Tract 2415.03; Harris County; Texas,2481,-666666666,479,145,48,201,241503,624,0.23237179487179488,1.0,2481.0,35,census_api
Census Tract 2501.01; Harris County; Texas,4612,85139,1125,335,48,201,250101,1460,0.22945205479452055,1.0,4612.0,35,census_api
Census Tract 2501.02; Harris County; Texas,5257,91653,1224,255,48,201,250102,1479,0.1724137931034483,1.0,5257.0,35,census_api
Census Tract 2502.01; Harris County; Texas,6841,57811,1870,574,48,201,250201,2444,0.234860883797054,1.0,6841.0,35,census_api
Census Tract 2502.02; Harris County; Texas,2328,23278,366,417,48,201,250202,783,0.5325670498084292,1.0,2328.0,35,census_api
Census Tract 2503.03; Harris County; Texas,3475,127406,1050,240,48,201,250303,1290,0.18604651162790697,1.0,3475.0,35,census_api
Census Tract 2503.04; Harris County; Texas,9198,76406,1570,668,48,201,250304,2238,0.29848078641644327,1.0,9198.0,35,census_api
Census Tract 2503.05; Harris County; Texas,5569,93872,1475,436,48,201,250305,1911,0.228152799581371,1.0,5569.0,35,census_api
Census Tract 2503.06; Harris County; Texas,3438,81042,1041,222,48,201,250306,1263,0.17577197149643706,1.0,3438.0,35,census_api
Census Tract 2504.03; Harris County; Texas,3525,66574,1240,439,48,201,250403,1679,0.2614651578320429,1.0,3525.0,35,census_api
Census Tract 2504.04; Harris County; Texas,4842,143321,1555,142,48,201,250404,1697,0.08367707719505009,1.0,4842.0,35,census_api
Census Tract 2504.05; Harris County; Texas,10214,111736,2160,735,48,201,250405,2895,0.2538860103626943,1.0,10214.0,35,census_api
Census Tract 2504.06; Harris County; Texas,4773,117243,1333,153,48,201,250406,1486,0.10296096904441454,1.0,4773.0,35,census_api
Census Tract 2504.07; Harris County; Texas,9719,174466,3013,128,48,201,250407,3141,0.04075135307226998,1.0,9719.0,35,census_api
Census Tract 2504.08; Harris County; Texas,10049,108228,2775,951,48,201,250408,3726,0.25523349436392917,1.0,10049.0,35,census_api
Census Tract 2505; Harris County; Texas,5862,74388,1277,851,48,201,250500,2128,0.399906015037594,1.0,5862.0,35,census_api
Census Tract 2506.01; Harris County; Texas,3085,39821,250,1361,48,201,250601,1611,0.8448168839230292,1.0,3085.0,35,census_api
Census Tract 2506.02; Harris County; Texas,5222,45541,483,1296,48,201,250602,1779,0.7284991568296796,1.0,5222.0,35,census_api
Census Tract 2507.01; Harris County; Texas,7584,109707,1823,426,48,201,250701,2249,0.1894175188972877,1.0,7584.0,35,census_api
Census Tract 2507.02; Harris County; Texas,4110,106685,1408,178,48,201,250702,1586,0.11223203026481715,1.0,4110.0,35,census_api
Census Tract 2508.01; Harris County; Texas,3519,133952,1138,199,48,201,250801,1337,0.14884068810770382,1.0,3519.0,35,census_api
Census Tract 2508.02; Harris County; Texas,4655,132961,1440,63,48,201,250802,1503,0.041916167664670656,1.0,4655.0,35,census_api
Census Tract 2509.01; Harris County; Texas,3723,120613,995,601,48,201,250901,1596,0.37656641604010027,1.0,3723.0,35,census_api
Census Tract 2509.02; Harris County; Texas,5709,212880,1883,42,48,201,250902,1925,0.02181818181818182,1.0,5709.0,35,census_api
Census Tract 2510; Harris County; Texas,3015,87095,649,657,48,201,251000,1306,0.503062787136294,1.0,3015.0,35,census_api
Census Tract 2511; Harris County; Texas,6839,97748,2194,276,48,201,251100,2470,0.11174089068825911,1.0,6839.0,35,census_api
Census Tract 2512; Harris County; Texas,6537,79974,1737,575,48,201,251200,2312,0.24870242214532873,1.0,6537.0,35,census_api
Census Tract 2513; Harris County; Texas,6844,111450,2075,266,48,201,251300,2341,0.11362665527552328,1.0,6844.0,35,census_api
Census Tract 2514.01; Harris County; Texas,3065,138558,729,90,48,201,251401,819,0.10989010989010989,1.0,3065.0,35,census_api
Census Tract 2514.02; Harris County; Texas,6952,53694,1534,1042,48,201,251402,2576,0.4045031055900621,1.0,6952.0,35,census_api
Census Tract 2515.01; Harris County; Texas,5716,156797,1715,58,48,201,251501,1773,0.032712915961646924,1.0,5716.0,35,census_api
Census Tract 2515.03; Harris County; Texas,2790,140588,603,247,48,201,251503,850,0.29058823529411765,1.0,2790.0,35,census_api
Census Tract 2515.04; Harris County; Texas,5100,155417,1679,63,48,201,251504,1742,0.03616532721010333,1.0,5100.0,35,census_api
