tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 201.02; Lonoke County; Arkansas,5853,58229,1178,888,05,085,020102,2066,0.4298160696999032,1.0,5853.0,35,census_api
Census Tract 201.03; Lonoke County; Arkansas,7843,90086,2222,384,05,085,020103,2606,0.14735226400613968,1.0,7843.0,35,census_api
Census Tract 201.05; Lonoke County; Arkansas,6553,108944,2050,247,05,085,020105,2297,0.10753156290814106,1.0,6553.0,35,census_api
Census Tract 201.06; Lonoke County; Arkansas,2391,64167,602,210,05,085,020106,812,0.25862068965517243,1.0,2391.0,35,census_api
Census Tract 201.07; Lonoke County; Arkansas,2651,52682,773,109,05,085,020107,882,0.1235827664399093,1.0,2651.0,35,census_api
Census Tract 201.08; Lonoke County; Arkansas,5319,81641,1305,380,05,085,020108,1685,0.22551928783382788,1.0,5319.0,35,census_api
Census Tract 202.01; Lonoke County; Arkansas,4134,88672,1216,224,05,085,020201,1440,0.15555555555555556,1.0,4134.0,35,census_api
Census Tract 202.02; Lonoke County; Arkansas,3393,56949,573,727,05,085,020202,1300,0.5592307692307692,1.0,3393.0,35,census_api
Census Tract 202.04; Lonoke County; Arkansas,5190,52837,1255,965,05,085,020204,2220,0.4346846846846847,1.0,5190.0,35,census_api
Census Tract 202.05; Lonoke County; Arkansas,4894,60801,1268,607,05,085,020205,1875,0.3237333333333333,1.0,4894.0,35,census_api
Census Tract 202.06; Lonoke County; Arkansas,4924,59661,1088,822,05,085,020206,1910,0.43036649214659684,1.0,4924.0,35,census_api
Census Tract 203.01; Lonoke County; Arkansas,3933,54141,1135,458,05,085,020301,1593,0.28750784682988073,1.0,3933.0,35,census_api
Census Tract 203.02; Lonoke County; Arkansas,3869,90305,1245,209,05,085,020302,1454,0.1437414030261348,1.0,3869.0,35,census_api
Census Tract 204; Lonoke County; Arkansas,2985,46607,915,209,05,085,020400,1124,0.18594306049822065,1.0,2985.0,35,census_api
Census Tract 205; Lonoke County; Arkansas,5043,49333,1608,562,05,085,020500,2170,0.2589861751152074,1.0,5043.0,35,census_api
Census Tract 206; Lonoke County; Arkansas,1622,68708,512,119,05,085,020600,631,0.18858954041204437,1.0,1622.0,35,census_api
Census Tract 207; Lonoke County; Arkansas,2666,52679,685,420,05,085,020700,1105,0.38009049773755654,1.0,2666.0,35,census_api
Census Tract 208; Lonoke County; Arkansas,1029,55410,347,65,05,085,020800,412,0.15776699029126215,1.0,1029.0,35,census_api
