tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 1011.10; Los Angeles County; California,4014,68972,840,711,06,037,101110,1551,0.4584139264990329,1.0,4014.0,35,census_api
Census Tract 1011.22; Los Angeles County; California,4164,118859,1039,344,06,037,101122,1383,0.24873463485177152,1.0,4164.0,35,census_api
Census Tract 1012.20; Los Angeles County; California,3481,65139,582,767,06,037,101220,1349,0.5685693106004448,1.0,3481.0,35,census_api
Census Tract 1012.21; Los Angeles County; California,3756,53348,347,1077,06,037,101221,1424,0.7563202247191011,1.0,3756.0,35,census_api
Census Tract 1012.22; Los Angeles County; California,2808,36779,31,897,06,037,101222,928,0.9665948275862069,1.0,2808.0,35,census_api
Census Tract 1013; Los Angeles County; California,4071,121490,1134,291,06,037,101300,1425,0.20421052631578948,1.0,4071.0,35,census_api
Census Tract 1014; Los Angeles County; California,3490,85945,955,332,06,037,101400,1287,0.257964257964258,1.0,3490.0,35,census_api
Census Tract 1021.03; Los Angeles County; California,1834,65250,402,269,06,037,102103,671,0.4008941877794337,1.0,1834.0,35,census_api
Census Tract 1021.04; Los Angeles County; California,4033,106250,1029,275,06,037,102104,1304,0.21088957055214724,1.0,4033.0,35,census_api
Census Tract 1021.05; Los Angeles County; California,1610,92917,325,232,06,037,102105,557,0.41651705565529623,1.0,1610.0,35,census_api
Census Tract 1021.07; Los Angeles County; California,3577,97778,922,280,06,037,102107,1202,0.23294509151414308,1.0,3577.0,35,census_api
Census Tract 1031.01; Los Angeles County; California,2726,125694,852,115,06,037,103101,967,0.1189245087900724,1.0,2726.0,35,census_api
Census Tract 1031.02; Los Angeles County; California,4550,84750,1172,459,06,037,103102,1631,0.2814224402207235,1.0,4550.0,35,census_api
Census Tract 1032.01; Los Angeles County; California,4291,84281,526,1051,06,037,103201,1577,0.6664552948636652,1.0,4291.0,35,census_api
Census Tract 1032.02; Los Angeles County; California,2010,112491,623,12,06,037,103202,635,0.01889763779527559,1.0,2010.0,35,census_api
