tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 1.07; Miami-Dade County; Florida,3013,54811,551,1033,12,086,000107,1584,0.6521464646464646,1.0,3013.0,35,census_api
Census Tract 1.09; Miami-Dade County; Florida,3187,55179,336,947,12,086,000109,1283,0.7381137957911146,1.0,3187.0,35,census_api
Census Tract 1.15; Miami-Dade County; Florida,1788,97847,420,326,12,086,000115,746,0.43699731903485256,1.0,1788.0,35,census_api
Census Tract 1.18; Miami-Dade County; Florida,1208,98824,405,87,12,086,000118,492,0.17682926829268292,1.0,1208.0,35,census_api
Census Tract 1.20; Miami-Dade County; Florida,4175,73939,1516,472,12,086,000120,1988,0.23742454728370221,1.0,4175.0,35,census_api
Census Tract 1.21; Miami-Dade County; Florida,1787,87500,616,248,12,086,000121,864,0.28703703703703703,1.0,1787.0,35,census_api
Census Tract 1.22; Miami-Dade County; Florida,3883,92524,1304,515,12,086,000122,1819,0.28312259483232544,1.0,3883.0,35,census_api
Census Tract 1.23; Miami-Dade County; Florida,4099,56500,1323,625,12,086,000123,1948,0.32084188911704314,1.0,4099.0,35,census_api
Census Tract 1.24; Miami-Dade County; Florida,3515,42105,389,925,12,086,000124,1314,0.7039573820395738,1.0,3515.0,35,census_api
Census Tract 1.25; Miami-Dade County; Florida,4314,50440,1016,911,12,086,000125,1927,0.472755578619616,1.0,4314.0,35,census_api
Census Tract 1.26; Miami-Dade County; Florida,1978,32600,567,484,12,086,000126,1051,0.4605137963843958,1.0,1978.0,35,census_api
Census Tract 1.27; Miami-Dade County; Florida,2547,46933,938,419,12,086,000127,1357,0.3087693441414886,1.0,2547.0,35,census_api
Census Tract 1.28; Miami-Dade County; Florida,3887,78427,1050,693,12,086,000128,1743,0.39759036144578314,1.0,3887.0,35,census_api
Census Tract 1.29; Miami-Dade County; Florida,2190,106950,867,184,12,086,000129,1051,0.17507136060894388,1.0,2190.0,35,census_api
Census Tract 1.30; Miami-Dade County; Florida,2698,88350,886,386,12,086,000130,1272,0.30345911949685533,1.0,2698.0,35,census_api
Census Tract 1.31; Miami-Dade County; Florida,4637,78388,1236,714,12,086,000131,1950,0.36615384615384616,1.0,4637.0,35,census_api
Census Tract 1.32; Miami-Dade County; Florida,5441,38768,2062,993,12,086,000132,3055,0.3250409165302782,1.0,5441.0,35,census_api
Census Tract 1.34; Miami-Dade County; Florida,3208,41633,884,623,12,086,000134,1507,0.41340411413404116,1.0,3208.0,35,census_api
Census Tract 1.40; Miami-Dade County; Florida,3652,66146,431,1198,12,086,000140,1629,0.7354205033763045,1.0,3652.0,35,census_api
Census Tract 1.41; Miami-Dade County; Florida,1730,78265,155,643,12,086,000141,798,0.8057644110275689,1.0,1730.0,35,census_api
Census Tract 1.42; Miami-Dade County; Florida,4666,68661,1470,704,12,086,000142,2174,0.32382704691812325,1.0,4666.0,35,census_api
Census Tract 1.43; Miami-Dade County; Florida,3155,49559,1013,711,12,086,000143,1724,0.4124129930394432,1.0,3155.0,35,census_api
Census Tract 1.44; Miami-Dade County; Florida,1221,84299,285,306,12,086,000144,591,0.5177664974619289,1.0,1221.0,35,census_api
Census Tract 1.45; Miami-Dade County; Florida,3173,158218,995,50,12,086,000145,1045,0.04784688995215311,1.0,3173.0,35,census_api
Census Tract 1.46; Miami-Dade County; Florida,4530,102576,1283,542,12,086,000146,1825,0.29698630136986304,1.0,4530.0,35,census_api
Census Tract 2.04; Miami-Dade County; Florida,4211,61518,863,323,12,086,000204,1186,0.2723440134907251,1.0,4211.0,35,census_api
Census Tract 2.06; Miami-Dade County; Florida,6552,47147,918,969,12,086,000206,1887,0.5135135135135135,1.0,6552.0,35,census_api
Census Tract 2.11; Miami-Dade County; Florida,2719,54821,580,394,12,086,000211,974,0.40451745379876797,1.0,2719.0,35,census_api
Census Tract 2.12; Miami-Dade County; Florida,4582,36114,170,1629,12,086,000212,1799,0.90550305725403,1.0,4582.0,35,census_api
Census Tract 2.13; Miami-Dade County; Florida,5618,63987,775,828,12,086,000213,1603,0.5165315034310668,1.0,5618.0,35,census_api
Census Tract 2.15; Miami-Dade County; Florida,5604,57024,684,948,12,086,000215,1632,0.5808823529411765,1.0,5604.0,35,census_api
Census Tract 2.16; Miami-Dade County; Florida,4719,64861,818,398,12,086,000216,1216,0.32730263157894735,1.0,4719.0,35,census_api
Census Tract 2.18; Miami-Dade County; Florida,3064,37650,597,400,12,086,000218,997,0.4012036108324975,1.0,3064.0,35,census_api
Census Tract 2.19; Miami-Dade County; Florida,4965,43824,310,1309,12,086,000219,1619,0.8085237801111798,1.0,4965.0,35,census_api
Census Tract 2.20; Miami-Dade County; Florida,5448,39846,567,1185,12,086,000220,1752,0.6763698630136986,1.0,5448.0,35,census_api
Census Tract 2.21; Miami-Dade County; Florida,2150,72311,319,274,12,086,000221,593,0.4620573355817875,1.0,2150.0,35,census_api
Census Tract 2.22; Miami-Dade County; Florida,4128,53313,924,498,12,086,000222,1422,0.350210970464135,1.0,4128.0,35,census_api
Census Tract 2.23; Miami-Dade County; Florida,2862,40417,375,681,12,086,000223,1056,0.6448863636363636,1.0,2862.0,35,census_api
Census Tract 2.24; Miami-Dade County; Florida,4506,37079,167,1677,12,086,000224,1844,0.9094360086767896,1.0,4506.0,35,census_api
Census Tract 2.25; Miami-Dade County; Florida,4337,52565,456,1395,12,086,000225,1851,0.7536466774716369,1.0,4337.0,35,census_api
Census Tract 2.26; Miami-Dade County; Florida,2797,71250,696,108,12,086,000226,804,0.13432835820895522,1.0,2797.0,35,census_api
Census Tract 2.27; Miami-Dade County; Florida,3170,43790,453,421,12,086,000227,874,0.4816933638443936,1.0,3170.0,35,census_api
Census Tract 2.28; Miami-Dade County; Florida,2778,45516,361,651,12,086,000228,1012,0.6432806324110671,1.0,2778.0,35,census_api
Census Tract 3.02; Miami-Dade County; Florida,2087,80500,483,111,12,086,000302,594,0.18686868686868688,1.0,2087.0,35,census_api
Census Tract 3.06; Miami-Dade County; Florida,4913,44622,455,1284,12,086,000306,1739,0.738355376653249,1.0,4913.0,35,census_api
Census Tract 3.07; Miami-Dade County; Florida,4069,55859,951,121,12,086,000307,1072,0.11287313432835822,1.0,4069.0,35,census_api
Census Tract 3.08; Miami-Dade County; Florida,4708,69924,1120,167,12,086,000308,1287,0.12975912975912976,1.0,4708.0,35,census_api
Census Tract 3.09; Miami-Dade County; Florida,3905,43839,154,912,12,086,000309,1066,0.8555347091932458,1.0,3905.0,35,census_api
Census Tract 3.10; Miami-Dade County; Florida,2967,50500,772,406,12,086,000310,1178,0.34465195246179964,1.0,2967.0,35,census_api
