tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 1.01; Multnomah County; Oregon,3187,83309,747,848,41,051,000101,1595,0.5316614420062696,1.0,3187.0,35,census_api
Census Tract 1.02; Multnomah County; Oregon,3746,94856,1151,568,41,051,000102,1719,0.33042466550319954,1.0,3746.0,35,census_api
Census Tract 2.01; Multnomah County; Oregon,3824,81546,856,757,41,051,000201,1613,0.46931184128952264,1.0,3824.0,35,census_api
Census Tract 2.02; Multnomah County; Oregon,3284,77114,654,959,41,051,000202,1613,0.5945443273403596,1.0,3284.0,35,census_api
Census Tract 3.01; Multnomah County; Oregon,5796,85000,1018,1164,41,051,000301,2182,0.5334555453712191,1.0,5796.0,35,census_api
Census Tract 3.02; Multnomah County; Oregon,7380,190923,2461,198,41,051,000302,2659,0.07446408424219632,1.0,7380.0,35,census_api
Census Tract 4.01; Multnomah County; Oregon,3889,97639,1098,409,41,051,000401,1507,0.2714001327140013,1.0,3889.0,35,census_api
Census Tract 4.02; Multnomah County; Oregon,3556,94007,1003,540,41,051,000402,1543,0.34996759559300067,1.0,3556.0,35,census_api
Census Tract 5.01; Multnomah County; Oregon,4253,92661,1295,543,41,051,000501,1838,0.2954298150163221,1.0,4253.0,35,census_api
Census Tract 5.02; Multnomah County; Oregon,4751,84900,1282,738,41,051,000502,2020,0.36534653465346534,1.0,4751.0,35,census_api
Census Tract 6.01; Multnomah County; Oregon,5577,77656,1520,660,41,051,000601,2180,0.30275229357798167,1.0,5577.0,35,census_api
Census Tract 6.02; Multnomah County; Oregon,5664,65361,1185,838,41,051,000602,2023,0.41423628274839347,1.0,5664.0,35,census_api
Census Tract 7.01; Multnomah County; Oregon,4927,90966,1370,646,41,051,000701,2016,0.32043650793650796,1.0,4927.0,35,census_api
Census Tract 7.02; Multnomah County; Oregon,5534,90833,1410,760,41,051,000702,2170,0.35023041474654376,1.0,5534.0,35,census_api
Census Tract 8.01; Multnomah County; Oregon,4646,117462,1257,826,41,051,000801,2083,0.3965434469515122,1.0,4646.0,35,census_api
