business_id,business_name,rating,review_count,latitude,longitude,address,city,zip_code,price,is_closed,data_source
Rka6JDIFT-S4P8fCX3boHw,Gentle Wash Laundromat,4.3,225,40.7256869,-73.9839901,97 Avenue A,New York,10009,$,False,yelp_api
iK9NORi6CgFHu69tQJ07fg,On The Go Cleaners,4.8,62,40.74727,-73.9800645,,Kips Bay,10016,$,False,yelp_api
aKariLr6Tt02CL4nMnMNdA,Jane Laundromat,4.2,108,40.738475,-74.003481,50 8th Ave,New York,10014,$,False,yelp_api
iKNkDEB4S-BiM1HH5Y1pRw,Delancey Laundromat,4.5,32,40.7198684,-73.9933453,9-11 Delancey St,New York,10002,$,False,yelp_api
X7jlG9soc2elNEXmZCWJeQ,Ludlow Laundromat,4.7,23,40.717349914511,-73.9898699149489,67 Ludlow St,New York,10002,,False,yelp_api
mwZvC4kXYcFh8-dMF5D-mA,Sunshine Laundromat & Pinball,4.5,135,40.72926415659234,-73.953750381601,860 Manhattan Ave,Brooklyn,11222,$$,False,yelp_api
k7HJBq-_C9BkC_8ba3FtXA,ABC Laundromat and Drycleaners,4.8,17,40.7294769287109,-73.9788818359375,534 E 14th St,New York,10009,$,False,yelp_api
APXC7jPpAM_tE5PZK1fV7A,Daily Bubble Laundromat,4.8,27,40.72057,-73.99899,176 Lafayette St,New York,10013,,False,yelp_api
Z3jGnrcuFvjSMFQ1wUo3dA,Crystal Dry Cleaners,4.2,65,40.735019,-73.9802593,350 E 20th St,New York,10003,$,False,yelp_api
v5AS25Ja26u6mwhri8-BYA,Village Bleachers,4.3,19,40.7334174250802,-73.9937460907087,34 E 11th St,Manhattan,10003,$,False,yelp_api
z0qNmuELnszaJI5wXvexCA,Madison Supreme Laundromat,4.6,22,40.712067902277,-73.9964755855794,80 Madison St,New York,10002,$,False,yelp_api
FvGbq3Bbe6I3YbTErOG7rw,Laundry & Latte,5.0,6,40.69354,-73.99853,6 Columbia Pl,Brooklyn,11201,,False,yelp_api
1ZvkpmMaHKRdoIM2q9rfmw,Clean N Green Laundry,4.3,172,40.6654434204102,-73.9794845581055,,Brooklyn,11215,$$,False,yelp_api
AJ14R-xxgfQ6kQ0BlDgoIQ,Clean Avenue Laundry,4.7,13,40.75248,-73.97342,,New York,10017,,False,yelp_api
bDvjYlgcbzUExFMoXDW5aw,The Eco Laundry Company,4.2,151,40.7420752,-73.9998348,249 W 18th St,New York,10011,$$,False,yelp_api
7s8Urt-O9Ntie0iwe1wLRQ,Tai Looney Laundromat,4.7,21,40.71863,-73.99218,299 Broome St,New York,10002,$,False,yelp_api
i2gDjk4vzzW0XlQWMcG-Gw,Central Wash Laundromat,5.0,7,40.71162199303913,-73.94635551617982,649 Grand St,Brooklyn,11211,,False,yelp_api
yB2kIF5ZRASquoPUxDUM9w,Supreme Laundromat,4.5,16,40.72472,-73.98173,96 Ave B,New York,10009,$$,False,yelp_api
71n4oKBW_Pj_3nL61CLq8w,Crowning Laundromat,4.6,14,40.7396801019635,-73.9798300713301,455 2nd Ave,New York,10010,,False,yelp_api
77DmuDvsR1gD3znX0YBGAA,You's Cornelia Street Laundromat,3.8,54,40.731519,-74.002386,30 Cornelia St,New York,10014,$,False,yelp_api
dKKnuf38WZzJ5ikFQ6hwNQ,All Fresh Laundry & Dry Cleaners,5.0,6,40.800902,-73.965614,944 Amsterdam Ave,New York,10025,,False,yelp_api
hcTqh62irj-KMISq2MqWsQ,Suds Buds,4.4,9,40.729423,-73.978595,540 E 14th St,New York,10009,,False,yelp_api
h2E_xR0l0iBf4KXB7vICiw,Launderette New York,5.0,4,40.713287,-73.957592,285 Grand St,Brooklyn,11211,,False,yelp_api
H-XMBpEJSyQaixnXLRX7cA,Si Laundromat,4.7,54,40.70869,-73.9544,340 S 4th St,Williamsburg,11211,$$,False,yelp_api
