tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 2.01; New York County; New York,2666,45582,0,878,36,061,000201,878,1.0,1.0,2666.0,35,census_api
Census Tract 2.02; New York County; New York,7001,34710,887,2406,36,061,000202,3293,0.7306407531126632,1.0,7001.0,35,census_api
Census Tract 6; New York County; New York,10751,25655,232,4959,36,061,000600,5191,0.9553072625698324,1.0,10751.0,35,census_api
Census Tract 7; New York County; New York,8674,184730,764,4109,36,061,000700,4873,0.8432177303509132,1.0,8674.0,35,census_api
Census Tract 8; New York County; New York,8713,28607,60,4233,36,061,000800,4293,0.9860237596086653,1.0,8713.0,35,census_api
Census Tract 9; New York County; New York,1824,222167,205,659,36,061,000900,864,0.7627314814814815,1.0,1824.0,35,census_api
Census Tract 10.01; New York County; New York,1696,109352,621,167,36,061,001001,788,0.21192893401015228,1.0,1696.0,35,census_api
Census Tract 10.02; New York County; New York,5989,23658,0,2483,36,061,001002,2483,1.0,1.0,5989.0,35,census_api
Census Tract 12; New York County; New York,4157,91154,1105,849,36,061,001200,1954,0.4344933469805527,1.0,4157.0,35,census_api
Census Tract 13; New York County; New York,4861,199576,491,2216,36,061,001300,2707,0.8186183967491688,1.0,4861.0,35,census_api
Census Tract 14.01; New York County; New York,3165,89873,1243,405,36,061,001401,1648,0.24575242718446602,1.0,3165.0,35,census_api
Census Tract 14.02; New York County; New York,3286,46615,156,1577,36,061,001402,1733,0.9099826889786498,1.0,3286.0,35,census_api
Census Tract 15.01; New York County; New York,7721,119293,1837,1481,36,061,001501,3318,0.4463532248342375,1.0,7721.0,35,census_api
Census Tract 15.02; New York County; New York,8623,160466,440,3659,36,061,001502,4099,0.8926567455476946,1.0,8623.0,35,census_api
Census Tract 16; New York County; New York,7720,46860,884,2639,36,061,001600,3523,0.7490774907749077,1.0,7720.0,35,census_api
Census Tract 18; New York County; New York,6948,74485,306,2769,36,061,001800,3075,0.9004878048780488,1.0,6948.0,35,census_api
Census Tract 20; New York County; New York,4689,26031,24,1997,36,061,002000,2021,0.9881246907471549,1.0,4689.0,35,census_api
Census Tract 21; New York County; New York,7275,250001,1234,1921,36,061,002100,3155,0.6088748019017433,1.0,7275.0,35,census_api
Census Tract 22.01; New York County; New York,6748,35700,326,2696,36,061,002201,3022,0.8921244209133025,1.0,6748.0,35,census_api
Census Tract 22.02; New York County; New York,2521,121389,129,903,36,061,002202,1032,0.875,1.0,2521.0,35,census_api
Census Tract 24; New York County; New York,4311,17922,0,1837,36,061,002400,1837,1.0,1.0,4311.0,35,census_api
Census Tract 25; New York County; New York,5162,21949,0,1980,36,061,002500,1980,1.0,1.0,5162.0,35,census_api
Census Tract 26.01; New York County; New York,4592,35625,129,1840,36,061,002601,1969,0.9344845099035043,1.0,4592.0,35,census_api
Census Tract 26.02; New York County; New York,3632,71907,448,1398,36,061,002602,1846,0.7573131094257854,1.0,3632.0,35,census_api
Census Tract 27; New York County; New York,1203,134583,448,168,36,061,002700,616,0.2727272727272727,1.0,1203.0,35,census_api
Census Tract 28; New York County; New York,6364,52305,538,2591,36,061,002800,3129,0.8280600830936401,1.0,6364.0,35,census_api
Census Tract 29.01; New York County; New York,1113,11406,0,87,36,061,002901,87,1.0,1.0,1113.0,35,census_api
Census Tract 29.02; New York County; New York,3885,-666666666,283,1561,36,061,002902,1844,0.846529284164859,1.0,3885.0,35,census_api
Census Tract 30.01; New York County; New York,3868,90222,182,2066,36,061,003001,2248,0.9190391459074733,1.0,3868.0,35,census_api
Census Tract 30.02; New York County; New York,3062,68382,118,1606,36,061,003002,1724,0.931554524361949,1.0,3062.0,35,census_api
Census Tract 31; New York County; New York,2667,190769,190,540,36,061,003100,730,0.7397260273972602,1.0,2667.0,35,census_api
Census Tract 32; New York County; New York,7523,88070,942,3658,36,061,003200,4600,0.7952173913043479,1.0,7523.0,35,census_api
Census Tract 33; New York County; New York,5787,250001,1183,1422,36,061,003300,2605,0.545873320537428,1.0,5787.0,35,census_api
Census Tract 34; New York County; New York,6647,109148,507,3241,36,061,003400,3748,0.8647278548559232,1.0,6647.0,35,census_api
Census Tract 36.01; New York County; New York,2942,55714,222,1232,36,061,003601,1454,0.8473177441540578,1.0,2942.0,35,census_api
Census Tract 36.02; New York County; New York,3409,144464,235,1232,36,061,003602,1467,0.8398091342876619,1.0,3409.0,35,census_api
Census Tract 37; New York County; New York,3380,246250,631,1199,36,061,003700,1830,0.6551912568306011,1.0,3380.0,35,census_api
Census Tract 38; New York County; New York,8199,68647,415,4268,36,061,003800,4683,0.9113815929959428,1.0,8199.0,35,census_api
Census Tract 39; New York County; New York,6935,190588,1394,1698,36,061,003900,3092,0.5491591203104786,1.0,6935.0,35,census_api
Census Tract 40.01; New York County; New York,3035,122383,231,1728,36,061,004001,1959,0.8820826952526799,1.0,3035.0,35,census_api
Census Tract 40.02; New York County; New York,6067,153838,300,1719,36,061,004002,2019,0.8514115898959881,1.0,6067.0,35,census_api
Census Tract 41; New York County; New York,7051,100096,153,3110,36,061,004100,3263,0.9531106343855348,1.0,7051.0,35,census_api
Census Tract 42; New York County; New York,5243,163750,641,909,36,061,004200,1550,0.5864516129032258,1.0,5243.0,35,census_api
Census Tract 43; New York County; New York,3494,97133,319,1973,36,061,004300,2292,0.8608202443280978,1.0,3494.0,35,census_api
Census Tract 44; New York County; New York,15945,142975,0,8209,36,061,004400,8209,1.0,1.0,15945.0,35,census_api
Census Tract 45; New York County; New York,1226,158393,218,272,36,061,004500,490,0.5551020408163265,1.0,1226.0,35,census_api
Census Tract 47; New York County; New York,2466,148750,410,1104,36,061,004700,1514,0.7291941875825627,1.0,2466.0,35,census_api
Census Tract 48; New York County; New York,6413,173239,1595,1189,36,061,004800,2784,0.4270833333333333,1.0,6413.0,35,census_api
Census Tract 49; New York County; New York,4323,141731,735,1719,36,061,004900,2454,0.7004889975550123,1.0,4323.0,35,census_api
Census Tract 50; New York County; New York,4892,194750,1333,1421,36,061,005000,2754,0.5159767610748003,1.0,4892.0,35,census_api
Census Tract 52; New York County; New York,3128,193958,747,460,36,061,005200,1207,0.38111019055509526,1.0,3128.0,35,census_api
Census Tract 54; New York County; New York,4713,152018,1432,1313,36,061,005400,2745,0.47832422586520945,1.0,4713.0,35,census_api
Census Tract 55.01; New York County; New York,4987,190408,595,1321,36,061,005501,1916,0.6894572025052192,1.0,4987.0,35,census_api
Census Tract 55.02; New York County; New York,1918,138854,321,796,36,061,005502,1117,0.7126230975828111,1.0,1918.0,35,census_api
Census Tract 56; New York County; New York,4319,186028,1021,1386,36,061,005600,2407,0.5758205234732031,1.0,4319.0,35,census_api
Census Tract 57; New York County; New York,2957,236250,591,887,36,061,005700,1478,0.6001353179972937,1.0,2957.0,35,census_api
Census Tract 58; New York County; New York,4237,186191,220,2151,36,061,005800,2371,0.9072121467735133,1.0,4237.0,35,census_api
Census Tract 59; New York County; New York,5001,166250,1576,857,36,061,005900,2433,0.3522400328812166,1.0,5001.0,35,census_api
Census Tract 60; New York County; New York,5630,202632,0,2408,36,061,006000,2408,1.0,1.0,5630.0,35,census_api
Census Tract 61; New York County; New York,5218,250001,1315,990,36,061,006100,2305,0.42950108459869846,1.0,5218.0,35,census_api
Census Tract 62; New York County; New York,4234,96912,0,1256,36,061,006200,1256,1.0,1.0,4234.0,35,census_api
Census Tract 63; New York County; New York,5799,172687,1514,1813,36,061,006300,3327,0.5449353772167117,1.0,5799.0,35,census_api
Census Tract 64; New York County; New York,7513,118201,1337,3011,36,061,006400,4348,0.6925022999080037,1.0,7513.0,35,census_api
Census Tract 65; New York County; New York,6088,118698,286,2755,36,061,006500,3041,0.9059519894771457,1.0,6088.0,35,census_api
Census Tract 66; New York County; New York,11615,126995,2334,4446,36,061,006600,6780,0.6557522123893805,1.0,11615.0,35,census_api
Census Tract 67; New York County; New York,5020,120964,510,2758,36,061,006700,3268,0.8439412484700123,1.0,5020.0,35,census_api
Census Tract 68; New York County; New York,7265,146051,1018,2435,36,061,006800,3453,0.7051838980596583,1.0,7265.0,35,census_api
Census Tract 69; New York County; New York,2491,231136,516,576,36,061,006900,1092,0.5274725274725275,1.0,2491.0,35,census_api
Census Tract 70.01; New York County; New York,3928,153902,589,1509,36,061,007001,2098,0.719256434699714,1.0,3928.0,35,census_api
Census Tract 70.02; New York County; New York,3657,143183,245,1982,36,061,007002,2227,0.8899865289627301,1.0,3657.0,35,census_api
Census Tract 71; New York County; New York,4995,173615,1058,1588,36,061,007100,2646,0.600151171579743,1.0,4995.0,35,census_api
Census Tract 72; New York County; New York,7035,139577,798,3381,36,061,007200,4179,0.8090452261306532,1.0,7035.0,35,census_api
Census Tract 73; New York County; New York,5683,146964,626,2922,36,061,007300,3548,0.8235625704622322,1.0,5683.0,35,census_api
Census Tract 74; New York County; New York,5056,192897,643,2056,36,061,007400,2699,0.7617636161541311,1.0,5056.0,35,census_api
Census Tract 75; New York County; New York,3692,119250,1044,1352,36,061,007500,2396,0.5642737896494157,1.0,3692.0,35,census_api
Census Tract 76; New York County; New York,2442,127308,305,1081,36,061,007600,1386,0.7799422799422799,1.0,2442.0,35,census_api
