tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 1.03; San Bernardino County; California,4149,104412,1006,528,06,071,000103,1534,0.34419817470664926,1.0,4149.0,35,census_api
Census Tract 1.04; San Bernardino County; California,6753,120000,1426,654,06,071,000104,2080,0.3144230769230769,1.0,6753.0,35,census_api
Census Tract 1.05; San Bernardino County; California,5375,117269,1231,475,06,071,000105,1706,0.2784290738569754,1.0,5375.0,35,census_api
Census Tract 1.07; San Bernardino County; California,2835,119048,676,148,06,071,000107,824,0.1796116504854369,1.0,2835.0,35,census_api
Census Tract 1.08; San Bernardino County; California,6482,91250,933,1105,06,071,000108,2038,0.542198233562316,1.0,6482.0,35,census_api
Census Tract 1.09; San Bernardino County; California,7094,118114,1858,320,06,071,000109,2178,0.14692378328741965,1.0,7094.0,35,census_api
Census Tract 1.11; San Bernardino County; California,2822,103750,884,85,06,071,000111,969,0.08771929824561403,1.0,2822.0,35,census_api
Census Tract 1.15; San Bernardino County; California,8568,97990,1567,1437,06,071,000115,3004,0.47836218375499334,1.0,8568.0,35,census_api
Census Tract 1.17; San Bernardino County; California,6187,139758,1565,451,06,071,000117,2016,0.22371031746031747,1.0,6187.0,35,census_api
Census Tract 1.18; San Bernardino County; California,4475,133438,1280,126,06,071,000118,1406,0.08961593172119488,1.0,4475.0,35,census_api
Census Tract 1.19; San Bernardino County; California,3878,63625,689,1003,06,071,000119,1692,0.5927895981087471,1.0,3878.0,35,census_api
Census Tract 1.20; San Bernardino County; California,7841,109457,1600,501,06,071,000120,2101,0.23845787720133269,1.0,7841.0,35,census_api
Census Tract 1.21; San Bernardino County; California,8578,155417,2089,573,06,071,000121,2662,0.21525169045830203,1.0,8578.0,35,census_api
Census Tract 1.22; San Bernardino County; California,4148,183168,1146,59,06,071,000122,1205,0.04896265560165975,1.0,4148.0,35,census_api
Census Tract 2.01; San Bernardino County; California,5177,82500,604,1058,06,071,000201,1662,0.6365824308062575,1.0,5177.0,35,census_api
Census Tract 2.03; San Bernardino County; California,4167,81645,904,339,06,071,000203,1243,0.2727272727272727,1.0,4167.0,35,census_api
Census Tract 2.05; San Bernardino County; California,4755,77195,938,306,06,071,000205,1244,0.2459807073954984,1.0,4755.0,35,census_api
Census Tract 2.07; San Bernardino County; California,5135,92396,778,311,06,071,000207,1089,0.28558310376492196,1.0,5135.0,35,census_api
Census Tract 2.08; San Bernardino County; California,3718,116944,738,214,06,071,000208,952,0.22478991596638656,1.0,3718.0,35,census_api
Census Tract 3.04; San Bernardino County; California,7342,87466,1018,817,06,071,000304,1835,0.4452316076294278,1.0,7342.0,35,census_api
Census Tract 3.05; San Bernardino County; California,5543,42131,197,1371,06,071,000305,1568,0.8743622448979592,1.0,5543.0,35,census_api
Census Tract 3.06; San Bernardino County; California,3051,54669,191,550,06,071,000306,741,0.7422402159244265,1.0,3051.0,35,census_api
Census Tract 3.07; San Bernardino County; California,2680,58672,486,306,06,071,000307,792,0.38636363636363635,1.0,2680.0,35,census_api
Census Tract 3.08; San Bernardino County; California,4009,74146,761,207,06,071,000308,968,0.21384297520661158,1.0,4009.0,35,census_api
Census Tract 4.01; San Bernardino County; California,6762,113391,1411,482,06,071,000401,1893,0.25462229265715797,1.0,6762.0,35,census_api
Census Tract 4.03; San Bernardino County; California,4407,117344,967,302,06,071,000403,1269,0.23798266351457842,1.0,4407.0,35,census_api
Census Tract 4.04; San Bernardino County; California,5009,75677,871,982,06,071,000404,1853,0.5299514301133297,1.0,5009.0,35,census_api
Census Tract 5.01; San Bernardino County; California,7080,91058,1369,572,06,071,000501,1941,0.2946934569809377,1.0,7080.0,35,census_api
Census Tract 5.03; San Bernardino County; California,4609,81156,699,728,06,071,000503,1427,0.5101611772950245,1.0,4609.0,35,census_api
Census Tract 5.04; San Bernardino County; California,5134,115625,1269,296,06,071,000504,1565,0.1891373801916933,1.0,5134.0,35,census_api
Census Tract 6.03; San Bernardino County; California,5191,90800,704,714,06,071,000603,1418,0.5035260930888575,1.0,5191.0,35,census_api
Census Tract 6.04; San Bernardino County; California,6042,84138,1261,799,06,071,000604,2060,0.38786407766990294,1.0,6042.0,35,census_api
Census Tract 6.05; San Bernardino County; California,5182,61098,672,660,06,071,000605,1332,0.4954954954954955,1.0,5182.0,35,census_api
Census Tract 6.06; San Bernardino County; California,4026,73889,660,560,06,071,000606,1220,0.45901639344262296,1.0,4026.0,35,census_api
Census Tract 8.04; San Bernardino County; California,3294,133250,924,187,06,071,000804,1111,0.16831683168316833,1.0,3294.0,35,census_api
Census Tract 8.08; San Bernardino County; California,5874,94621,1317,533,06,071,000808,1850,0.2881081081081081,1.0,5874.0,35,census_api
Census Tract 8.12; San Bernardino County; California,3816,126299,1106,165,06,071,000812,1271,0.12981904012588513,1.0,3816.0,35,census_api
Census Tract 8.13; San Bernardino County; California,2966,103594,943,216,06,071,000813,1159,0.18636755823986195,1.0,2966.0,35,census_api
Census Tract 8.14; San Bernardino County; California,3730,156932,1188,37,06,071,000814,1225,0.030204081632653063,1.0,3730.0,35,census_api
Census Tract 8.15; San Bernardino County; California,3323,143343,969,161,06,071,000815,1130,0.1424778761061947,1.0,3323.0,35,census_api
Census Tract 8.16; San Bernardino County; California,4634,130521,1309,154,06,071,000816,1463,0.10526315789473684,1.0,4634.0,35,census_api
Census Tract 8.17; San Bernardino County; California,3862,86780,1099,328,06,071,000817,1427,0.22985283812193413,1.0,3862.0,35,census_api
Census Tract 8.18; San Bernardino County; California,5985,121466,1447,421,06,071,000818,1868,0.22537473233404712,1.0,5985.0,35,census_api
Census Tract 8.19; San Bernardino County; California,5654,165110,1595,517,06,071,000819,2112,0.24479166666666666,1.0,5654.0,35,census_api
Census Tract 8.20; San Bernardino County; California,3688,151167,1151,53,06,071,000820,1204,0.04401993355481727,1.0,3688.0,35,census_api
Census Tract 8.21; San Bernardino County; California,5023,74886,199,1845,06,071,000821,2044,0.9026418786692759,1.0,5023.0,35,census_api
Census Tract 8.23; San Bernardino County; California,6637,77652,536,1847,06,071,000823,2383,0.7750734368443138,1.0,6637.0,35,census_api
Census Tract 8.24; San Bernardino County; California,5774,66078,396,1442,06,071,000824,1838,0.7845484221980413,1.0,5774.0,35,census_api
Census Tract 8.25; San Bernardino County; California,3874,62891,342,1155,06,071,000825,1497,0.7715430861723447,1.0,3874.0,35,census_api
Census Tract 8.26; San Bernardino County; California,4347,88611,878,552,06,071,000826,1430,0.386013986013986,1.0,4347.0,35,census_api
Census Tract 9.01; San Bernardino County; California,5420,72313,718,1183,06,071,000901,1901,0.622304050499737,1.0,5420.0,35,census_api
Census Tract 9.03; San Bernardino County; California,4135,64366,386,998,06,071,000903,1384,0.7210982658959537,1.0,4135.0,35,census_api
Census Tract 9.04; San Bernardino County; California,3921,80000,619,703,06,071,000904,1322,0.5317700453857791,1.0,3921.0,35,census_api
Census Tract 10.01; San Bernardino County; California,5583,75976,669,791,06,071,001001,1460,0.5417808219178082,1.0,5583.0,35,census_api
Census Tract 10.02; San Bernardino County; California,5652,64353,729,810,06,071,001002,1539,0.5263157894736842,1.0,5652.0,35,census_api
Census Tract 11.01; San Bernardino County; California,3699,71582,398,722,06,071,001101,1120,0.6446428571428572,1.0,3699.0,35,census_api
Census Tract 11.03; San Bernardino County; California,3941,76012,845,417,06,071,001103,1262,0.3304278922345483,1.0,3941.0,35,census_api
Census Tract 11.04; San Bernardino County; California,5901,67500,1038,584,06,071,001104,1622,0.3600493218249075,1.0,5901.0,35,census_api
Census Tract 12; San Bernardino County; California,4400,80137,1247,364,06,071,001200,1611,0.22594661700806953,1.0,4400.0,35,census_api
Census Tract 13.05; San Bernardino County; California,6024,54012,558,952,06,071,001305,1510,0.6304635761589404,1.0,6024.0,35,census_api
Census Tract 13.07; San Bernardino County; California,3675,85417,763,165,06,071,001307,928,0.17780172413793102,1.0,3675.0,35,census_api
Census Tract 13.08; San Bernardino County; California,4630,88661,718,464,06,071,001308,1182,0.3925549915397631,1.0,4630.0,35,census_api
Census Tract 13.09; San Bernardino County; California,5490,67550,713,502,06,071,001309,1215,0.41316872427983536,1.0,5490.0,35,census_api
Census Tract 13.10; San Bernardino County; California,4718,85000,984,308,06,071,001310,1292,0.23839009287925697,1.0,4718.0,35,census_api
Census Tract 13.11; San Bernardino County; California,3892,122727,881,193,06,071,001311,1074,0.17970204841713222,1.0,3892.0,35,census_api
Census Tract 13.12; San Bernardino County; California,5788,85924,1056,955,06,071,001312,2011,0.4748881153654898,1.0,5788.0,35,census_api
Census Tract 14; San Bernardino County; California,3215,62633,184,1146,06,071,001400,1330,0.8616541353383459,1.0,3215.0,35,census_api
Census Tract 15.01; San Bernardino County; California,3643,88875,383,534,06,071,001501,917,0.5823336968375137,1.0,3643.0,35,census_api
Census Tract 15.03; San Bernardino County; California,4216,54010,206,785,06,071,001503,991,0.7921291624621595,1.0,4216.0,35,census_api
Census Tract 15.04; San Bernardino County; California,5569,52351,533,1280,06,071,001504,1813,0.7060121345835632,1.0,5569.0,35,census_api
Census Tract 16; San Bernardino County; California,5552,53866,471,786,06,071,001600,1257,0.6252983293556086,1.0,5552.0,35,census_api
Census Tract 17.02; San Bernardino County; California,6295,89484,1211,768,06,071,001702,1979,0.3880747852450733,1.0,6295.0,35,census_api
Census Tract 17.03; San Bernardino County; California,5013,105774,1463,176,06,071,001703,1639,0.10738255033557047,1.0,5013.0,35,census_api
Census Tract 17.04; San Bernardino County; California,4515,80278,724,478,06,071,001704,1202,0.39767054908485855,1.0,4515.0,35,census_api
Census Tract 17.06; San Bernardino County; California,6152,73442,947,1069,06,071,001706,2016,0.5302579365079365,1.0,6152.0,35,census_api
Census Tract 17.07; San Bernardino County; California,5300,95483,1243,326,06,071,001707,1569,0.20777565328234543,1.0,5300.0,35,census_api
Census Tract 18.03; San Bernardino County; California,3474,71667,595,681,06,071,001803,1276,0.5336990595611285,1.0,3474.0,35,census_api
Census Tract 18.04; San Bernardino County; California,5916,107484,1424,493,06,071,001804,1917,0.2571726656233698,1.0,5916.0,35,census_api
Census Tract 18.06; San Bernardino County; California,4575,113411,986,201,06,071,001806,1187,0.16933445661331087,1.0,4575.0,35,census_api
Census Tract 18.08; San Bernardino County; California,4593,92235,963,294,06,071,001808,1257,0.23389021479713604,1.0,4593.0,35,census_api
