tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 1.02; Santa Fe County; New Mexico,2338,57764,1112,277,35,049,000102,1389,0.1994240460763139,1.0,2338.0,35,census_api
Census Tract 1.03; Santa Fe County; New Mexico,1911,95000,697,349,35,049,000103,1046,0.33365200764818354,1.0,1911.0,35,census_api
Census Tract 2.01; Santa Fe County; New Mexico,1409,116509,449,347,35,049,000201,796,0.435929648241206,1.0,1409.0,35,census_api
Census Tract 2.02; Santa Fe County; New Mexico,2688,87817,1198,324,35,049,000202,1522,0.21287779237844942,1.0,2688.0,35,census_api
Census Tract 3; Santa Fe County; New Mexico,1518,84886,475,472,35,049,000300,947,0.498416050686378,1.0,1518.0,35,census_api
Census Tract 4; Santa Fe County; New Mexico,283,109167,47,141,35,049,000400,188,0.75,1.0,283.0,35,census_api
Census Tract 5; Santa Fe County; New Mexico,2092,91658,781,482,35,049,000500,1263,0.38163103721298497,1.0,2092.0,35,census_api
Census Tract 6; Santa Fe County; New Mexico,2093,65000,727,467,35,049,000600,1194,0.39112227805695143,1.0,2093.0,35,census_api
Census Tract 7; Santa Fe County; New Mexico,1860,75375,503,586,35,049,000700,1089,0.5381083562901745,1.0,1860.0,35,census_api
Census Tract 8; Santa Fe County; New Mexico,2956,50823,917,556,35,049,000800,1473,0.3774609640190088,1.0,2956.0,35,census_api
Census Tract 9; Santa Fe County; New Mexico,3364,62989,1386,337,35,049,000900,1723,0.1955890887986071,1.0,3364.0,35,census_api
Census Tract 10.01; Santa Fe County; New Mexico,1969,84375,409,497,35,049,001001,906,0.5485651214128036,1.0,1969.0,35,census_api
Census Tract 10.02; Santa Fe County; New Mexico,3562,33398,466,1266,35,049,001002,1732,0.73094688221709,1.0,3562.0,35,census_api
Census Tract 11.02; Santa Fe County; New Mexico,3572,86171,905,938,35,049,001102,1843,0.5089527943570266,1.0,3572.0,35,census_api
Census Tract 11.03; Santa Fe County; New Mexico,1786,76910,469,396,35,049,001103,865,0.4578034682080925,1.0,1786.0,35,census_api
Census Tract 11.05; Santa Fe County; New Mexico,2609,71957,798,506,35,049,001105,1304,0.3880368098159509,1.0,2609.0,35,census_api
Census Tract 11.06; Santa Fe County; New Mexico,3055,40375,1088,489,35,049,001106,1577,0.31008243500317056,1.0,3055.0,35,census_api
Census Tract 11.07; Santa Fe County; New Mexico,5098,62695,1586,733,35,049,001107,2319,0.31608451918930575,1.0,5098.0,35,census_api
Census Tract 12.02; Santa Fe County; New Mexico,6069,42537,1074,1497,35,049,001202,2571,0.5822637106184364,1.0,6069.0,35,census_api
Census Tract 12.03; Santa Fe County; New Mexico,2986,76648,747,277,35,049,001203,1024,0.2705078125,1.0,2986.0,35,census_api
Census Tract 12.05; Santa Fe County; New Mexico,6171,55346,1397,599,35,049,001205,1996,0.3001002004008016,1.0,6171.0,35,census_api
Census Tract 12.06; Santa Fe County; New Mexico,4488,47500,869,529,35,049,001206,1398,0.37839771101573677,1.0,4488.0,35,census_api
Census Tract 12.07; Santa Fe County; New Mexico,2998,58289,833,233,35,049,001207,1066,0.21857410881801126,1.0,2998.0,35,census_api
Census Tract 13.01; Santa Fe County; New Mexico,1384,86250,390,240,35,049,001301,630,0.38095238095238093,1.0,1384.0,35,census_api
Census Tract 13.02; Santa Fe County; New Mexico,2975,51122,506,506,35,049,001302,1012,0.5,1.0,2975.0,35,census_api
Census Tract 13.04; Santa Fe County; New Mexico,911,-666666666,263,113,35,049,001304,376,0.300531914893617,1.0,911.0,35,census_api
Census Tract 13.05; Santa Fe County; New Mexico,4764,71922,1323,502,35,049,001305,1825,0.27506849315068493,1.0,4764.0,35,census_api
Census Tract 13.06; Santa Fe County; New Mexico,2511,53149,491,358,35,049,001306,849,0.4216725559481743,1.0,2511.0,35,census_api
Census Tract 101.02; Santa Fe County; New Mexico,4403,65034,1311,495,35,049,010102,1806,0.27408637873754155,1.0,4403.0,35,census_api
Census Tract 102.04; Santa Fe County; New Mexico,2038,147639,912,79,35,049,010204,991,0.07971745711402624,1.0,2038.0,35,census_api
Census Tract 102.05; Santa Fe County; New Mexico,1080,59977,475,170,35,049,010205,645,0.26356589147286824,1.0,1080.0,35,census_api
