tract_name,tract_clean,zip_code,neighborhood
Census Tract 1011.10; Los Angeles County; California,101110,91042,Other LA County
Census Tract 1011.22; Los Angeles County; California,101122,91042,Other LA County
Census Tract 1012.20; Los Angeles County; California,101220,91042,Other LA County
Census Tract 1012.21; Los Angeles County; California,101221,91042,Other LA County
Census Tract 1012.22; Los Angeles County; California,101222,91042,Other LA County
Census Tract 1013; Los Angeles County; California,101300,91042,Other LA County
Census Tract 1014; Los Angeles County; California,101400,91040,Other LA County
Census Tract 1021.03; Los Angeles County; California,102103,91352,Other LA County
Census Tract 1021.04; Los Angeles County; California,102104,91352,Other LA County
Census Tract 1021.05; Los Angeles County; California,102105,91352,Other LA County
Census Tract 1021.07; Los Angeles County; California,102107,91040,Other LA County
Census Tract 1031.01; Los Angeles County; California,103101,91040,Other LA County
Census Tract 1031.02; Los Angeles County; California,103102,91040,Other LA County
Census Tract 1032.01; Los Angeles County; California,103201,91040,Other LA County
Census Tract 1032.02; Los Angeles County; California,103202,91040,Other LA County
Census Tract 1033; Los Angeles County; California,103300,91040,Other LA County
Census Tract 1034.01; Los Angeles County; California,103401,91040,Other LA County
Census Tract 1034.02; Los Angeles County; California,103402,91040,Other LA County
Census Tract 1041.03; Los Angeles County; California,104103,91342,Other LA County
Census Tract 1041.05; Los Angeles County; California,104105,91331,Other LA County
Census Tract 1041.08; Los Angeles County; California,104108,91331,Other LA County
Census Tract 1041.24; Los Angeles County; California,104124,91342,Other LA County
Census Tract 1042.01; Los Angeles County; California,104201,91331,Other LA County
Census Tract 1042.03; Los Angeles County; California,104203,91331,Other LA County
Census Tract 1042.04; Los Angeles County; California,104204,91331,Other LA County
Census Tract 1043.10; Los Angeles County; California,104310,91331,Other LA County
Census Tract 1043.21; Los Angeles County; California,104321,91331,Other LA County
Census Tract 1043.22; Los Angeles County; California,104322,91331,Other LA County
Census Tract 1044.01; Los Angeles County; California,104401,91331,Other LA County
Census Tract 1044.03; Los Angeles County; California,104403,91331,Other LA County
Census Tract 1044.04; Los Angeles County; California,104404,91331,Other LA County
Census Tract 1045; Los Angeles County; California,104500,91331,Other LA County
Census Tract 1046.10; Los Angeles County; California,104610,91331,Other LA County
Census Tract 1046.20; Los Angeles County; California,104620,91331,Other LA County
Census Tract 1047.01; Los Angeles County; California,104701,91331,Other LA County
Census Tract 1047.03; Los Angeles County; California,104703,91331,Other LA County
Census Tract 1047.04; Los Angeles County; California,104704,91331,Other LA County
Census Tract 1048.21; Los Angeles County; California,104821,91331,Other LA County
Census Tract 1048.22; Los Angeles County; California,104822,91331,Other LA County
Census Tract 1048.23; Los Angeles County; California,104823,91331,Other LA County
Census Tract 1048.24; Los Angeles County; California,104824,91331,Other LA County
Census Tract 1060.10; Los Angeles County; California,106010,91342,Other LA County
Census Tract 1060.20; Los Angeles County; California,106020,91342,Other LA County
Census Tract 1061.11; Los Angeles County; California,106111,91342,Other LA County
Census Tract 1061.12; Los Angeles County; California,106112,91342,Other LA County
Census Tract 1061.13; Los Angeles County; California,106113,91342,Other LA County
Census Tract 1061.14; Los Angeles County; California,106114,91340,Other LA County
Census Tract 1064.03; Los Angeles County; California,106403,91340,Other LA County
Census Tract 1064.05; Los Angeles County; California,106405,91342,Other LA County
Census Tract 1064.06; Los Angeles County; California,106406,91342,Other LA County
