tract_name,tract_clean,zip_code
Census Tract 101; Cook County; Illinois,10100,00926
Census Tract 102.01; Cook County; Illinois,10201,03063
Census Tract 102.02; Cook County; Illinois,10202,03063
Census Tract 103; Cook County; Illinois,10300,02115
Census Tract 104; Cook County; Illinois,10400,02631
Census Tract 105.01; Cook County; Illinois,10501,02914
Census Tract 105.02; Cook County; Illinois,10502,02914
Census Tract 105.03; Cook County; Illinois,10503,08205
Census Tract 106; Cook County; Illinois,10600,02115
Census Tract 107.01; Cook County; Illinois,10701,02115
Census Tract 107.02; Cook County; Illinois,10702,02116
Census Tract 201; Cook County; Illinois,20100,04210
Census Tract 202; Cook County; Illinois,20200,00956
Census Tract 203.01; Cook County; Illinois,20301,02114
Census Tract 203.02; Cook County; Illinois,20302,00961
Census Tract 204; Cook County; Illinois,20400,02816
Census Tract 205; Cook County; Illinois,20500,00926
Census Tract 206.01; Cook County; Illinois,20601,02816
Census Tract 206.02; Cook County; Illinois,20602,02816
Census Tract 207.01; Cook County; Illinois,20701,02816
Census Tract 207.02; Cook County; Illinois,20702,02816
Census Tract 208.01; Cook County; Illinois,20801,04240
Census Tract 208.02; Cook County; Illinois,20802,04240
Census Tract 209.01; Cook County; Illinois,20901,02818
Census Tract 209.02; Cook County; Illinois,20902,07021
Census Tract 301.01; Cook County; Illinois,30101,00934
Census Tract 301.02; Cook County; Illinois,30102,04073
Census Tract 301.03; Cook County; Illinois,30103,00957
Census Tract 301.04; Cook County; Illinois,30104,00957
Census Tract 302; Cook County; Illinois,30200,00959
Census Tract 303; Cook County; Illinois,30300,00956
Census Tract 304; Cook County; Illinois,30400,02109
Census Tract 305; Cook County; Illinois,30500,02109
Census Tract 306.01; Cook County; Illinois,30601,02885
Census Tract 306.03; Cook County; Illinois,30603,06489
Census Tract 306.04; Cook County; Illinois,30604,06010
Census Tract 307.01; Cook County; Illinois,30701,07202
Census Tract 307.02; Cook County; Illinois,30702,13035
Census Tract 307.03; Cook County; Illinois,30703,07202
Census Tract 307.06; Cook County; Illinois,30706,32003
Census Tract 308; Cook County; Illinois,30800,00957
Census Tract 309; Cook County; Illinois,30900,07202
Census Tract 310; Cook County; Illinois,31000,03901
Census Tract 311; Cook County; Illinois,31100,04401
Census Tract 312; Cook County; Illinois,31200,04422
Census Tract 313; Cook County; Illinois,31300,04401
Census Tract 314; Cook County; Illinois,31400,07031
Census Tract 315.01; Cook County; Illinois,31501,00957
Census Tract 315.02; Cook County; Illinois,31502,00956
Census Tract 317; Cook County; Illinois,31700,07205
Census Tract 318; Cook County; Illinois,31800,00956
Census Tract 319; Cook County; Illinois,31900,00956
Census Tract 321; Cook County; Illinois,32100,00956
Census Tract 401; Cook County; Illinois,40100,01070
Census Tract 402.01; Cook County; Illinois,40201,13033
Census Tract 402.02; Cook County; Illinois,40202,13027
Census Tract 403; Cook County; Illinois,40300,01360
Census Tract 404.01; Cook County; Illinois,40401,02129
Census Tract 404.02; Cook County; Illinois,40402,24019
Census Tract 406; Cook County; Illinois,40600,01002
Census Tract 407; Cook County; Illinois,40700,02840
Census Tract 408; Cook County; Illinois,40800,01039
Census Tract 409; Cook County; Illinois,40900,00969
Census Tract 501; Cook County; Illinois,50100,06238
Census Tract 502; Cook County; Illinois,50200,02128
Census Tract 503; Cook County; Illinois,50300,02128
Census Tract 505; Cook County; Illinois,50500,02128
Census Tract 506; Cook County; Illinois,50600,00985
Census Tract 507; Cook County; Illinois,50700,00985
Census Tract 508; Cook County; Illinois,50800,06460
Census Tract 509; Cook County; Illinois,50900,06460
Census Tract 510; Cook County; Illinois,51000,02128
Census Tract 511; Cook County; Illinois,51100,06460
Census Tract 512; Cook County; Illinois,51200,02128
Census Tract 513; Cook County; Illinois,51300,06705
Census Tract 514; Cook County; Illinois,51400,02881
Census Tract 601; Cook County; Illinois,60100,06030
Census Tract 602; Cook County; Illinois,60200,02127
Census Tract 603; Cook County; Illinois,60300,06779
Census Tract 604; Cook County; Illinois,60400,02127
Census Tract 605; Cook County; Illinois,60500,06824
Census Tract 608; Cook County; Illinois,60800,02127
Census Tract 609; Cook County; Illinois,60900,06824
Census Tract 610; Cook County; Illinois,61000,02127
Census Tract 611; Cook County; Illinois,61100,06031
Census Tract 612; Cook County; Illinois,61200,06716
Census Tract 615; Cook County; Illinois,61500,06516
Census Tract 618; Cook County; Illinois,61800,11413
Census Tract 619.01; Cook County; Illinois,61901,60657
Census Tract 619.02; Cook County; Illinois,61902,27239
Census Tract 620; Cook County; Illinois,62000,03827
Census Tract 621; Cook County; Illinois,62100,06039
Census Tract 622; Cook County; Illinois,62200,11235
Census Tract 623; Cook County; Illinois,62300,11385
Census Tract 624; Cook County; Illinois,62400,11413
Census Tract 625; Cook County; Illinois,62500,03827
Census Tract 626; Cook County; Illinois,62600,11229
Census Tract 627; Cook County; Illinois,62700,11385
Census Tract 628; Cook County; Illinois,62800,11229
Census Tract 629; Cook County; Illinois,62900,11385
Census Tract 630; Cook County; Illinois,63000,11413
Census Tract 631; Cook County; Illinois,63100,60657
Census Tract 632; Cook County; Illinois,63200,06031
Census Tract 633.01; Cook County; Illinois,63301,11385
Census Tract 633.02; Cook County; Illinois,63302,11385
Census Tract 633.03; Cook County; Illinois,63303,60657
Census Tract 634; Cook County; Illinois,63400,36036
Census Tract 701.01; Cook County; Illinois,70101,12538
Census Tract 701.02; Cook County; Illinois,70102,02108
Census Tract 701.03; Cook County; Illinois,70103,02111
Census Tract 702; Cook County; Illinois,70200,06340
Census Tract 703; Cook County; Illinois,70300,00716
Census Tract 704; Cook County; Illinois,70400,00716
Census Tract 705; Cook County; Illinois,70500,06410
Census Tract 706; Cook County; Illinois,70600,02116
Census Tract 707; Cook County; Illinois,70700,02116
Census Tract 710; Cook County; Illinois,71000,00730
Census Tract 711; Cook County; Illinois,71100,06002
Census Tract 712; Cook County; Illinois,71200,00641
Census Tract 713; Cook County; Illinois,71300,00717
Census Tract 714; Cook County; Illinois,71400,06002
Census Tract 715; Cook County; Illinois,71500,00717
Census Tract 716; Cook County; Illinois,71600,06037
Census Tract 717; Cook County; Illinois,71700,00717
Census Tract 718; Cook County; Illinois,71800,00716
Census Tract 801; Cook County; Illinois,80100,00680
Census Tract 802.01; Cook County; Illinois,80201,12042
Census Tract 802.02; Cook County; Illinois,80202,03823
Census Tract 803; Cook County; Illinois,80300,00682
Census Tract 804; Cook County; Illinois,80400,06082
Census Tract 810; Cook County; Illinois,81000,06082
Census Tract 811; Cook County; Illinois,81100,06082
Census Tract 812.01; Cook County; Illinois,81201,32118
Census Tract 812.02; Cook County; Illinois,81202,32118
Census Tract 813; Cook County; Illinois,81300,00680
Census Tract 814.01; Cook County; Illinois,81401,60611
Census Tract 814.02; Cook County; Illinois,81402,60611
Census Tract 814.03; Cook County; Illinois,81403,60601
Census Tract 815; Cook County; Illinois,81500,02119
Census Tract 816; Cook County; Illinois,81600,03820
Census Tract 817; Cook County; Illinois,81700,00680
Census Tract 818; Cook County; Illinois,81800,00680
Census Tract 819; Cook County; Illinois,81900,00680
Census Tract 901; Cook County; Illinois,90100,02121
Census Tract 902; Cook County; Illinois,90200,02121
Census Tract 903; Cook County; Illinois,90300,02121
Census Tract 1001; Cook County; Illinois,100100,02124
Census Tract 1002; Cook County; Illinois,100200,00729
Census Tract 1003; Cook County; Illinois,100300,02124
Census Tract 1004; Cook County; Illinois,100400,00729
Census Tract 1005; Cook County; Illinois,100500,02124
Census Tract 1006; Cook County; Illinois,100600,11236
Census Tract 1007; Cook County; Illinois,100700,00729
Census Tract 1101; Cook County; Illinois,110100,16354
Census Tract 1102; Cook County; Illinois,110200,11743
Census Tract 1103; Cook County; Illinois,110300,11743
Census Tract 1104; Cook County; Illinois,110400,00772
Census Tract 1105.01; Cook County; Illinois,110501,02131
Census Tract 1105.02; Cook County; Illinois,110502,02131
Census Tract 1201; Cook County; Illinois,120100,11355
Census Tract 1202; Cook County; Illinois,120200,00949
Census Tract 1203; Cook County; Illinois,120300,00949
Census Tract 1204; Cook County; Illinois,120400,00949
Census Tract 1301; Cook County; Illinois,130100,11427
Census Tract 1302; Cook County; Illinois,130200,00745
Census Tract 1303; Cook County; Illinois,130300,00745
Census Tract 1401; Cook County; Illinois,140100,15213
Census Tract 1402; Cook County; Illinois,140200,15217
Census Tract 1403.01; Cook County; Illinois,140301,12601
Census Tract 1403.02; Cook County; Illinois,140302,12601
