tract_name,population,median_income,B25003_002E,B25003_003E,state,county,tract,total_housing,renter_rate,area_sq_miles,population_density,median_age,data_source
Census Tract 1.01; Travis County; Texas,4494,131713,1377,909,48,453,000101,2286,0.39763779527559057,1.0,4494.0,35,census_api
Census Tract 1.02; Travis County; Texas,2155,224688,942,36,48,453,000102,978,0.03680981595092025,1.0,2155.0,35,census_api
Census Tract 2.03; Travis County; Texas,3020,88968,10,1040,48,453,000203,1050,0.9904761904761905,1.0,3020.0,35,census_api
Census Tract 2.04; Travis County; Texas,2593,115375,697,618,48,453,000204,1315,0.4699619771863118,1.0,2593.0,35,census_api
Census Tract 2.05; Travis County; Texas,4549,69314,575,2087,48,453,000205,2662,0.7839969947407964,1.0,4549.0,35,census_api
Census Tract 2.06; Travis County; Texas,3906,97123,927,869,48,453,000206,1796,0.4838530066815145,1.0,3906.0,35,census_api
Census Tract 3.02; Travis County; Texas,5474,58235,689,2476,48,453,000302,3165,0.782306477093207,1.0,5474.0,35,census_api
Census Tract 3.04; Travis County; Texas,3054,97500,434,1160,48,453,000304,1594,0.7277289836888331,1.0,3054.0,35,census_api
Census Tract 3.05; Travis County; Texas,3529,72101,562,1303,48,453,000305,1865,0.6986595174262734,1.0,3529.0,35,census_api
Census Tract 3.07; Travis County; Texas,1875,119896,519,315,48,453,000307,834,0.3776978417266187,1.0,1875.0,35,census_api
Census Tract 3.08; Travis County; Texas,2258,67650,536,513,48,453,000308,1049,0.4890371782650143,1.0,2258.0,35,census_api
Census Tract 3.09; Travis County; Texas,5267,126118,1194,1534,48,453,000309,2728,0.5623167155425219,1.0,5267.0,35,census_api
Census Tract 4.01; Travis County; Texas,4516,82500,506,1548,48,453,000401,2054,0.75365141187926,1.0,4516.0,35,census_api
Census Tract 4.02; Travis County; Texas,3207,71489,599,1188,48,453,000402,1787,0.6648013430330162,1.0,3207.0,35,census_api
Census Tract 5; Travis County; Texas,3931,57447,489,1617,48,453,000500,2106,0.7678062678062678,1.0,3931.0,35,census_api
Census Tract 6.01; Travis County; Texas,10105,15545,10,405,48,453,000601,415,0.9759036144578314,1.0,10105.0,35,census_api
Census Tract 6.05; Travis County; Texas,2779,9060,133,1150,48,453,000605,1283,0.8963367108339828,1.0,2779.0,35,census_api
Census Tract 6.06; Travis County; Texas,4553,10212,50,1624,48,453,000606,1674,0.970131421744325,1.0,4553.0,35,census_api
Census Tract 6.07; Travis County; Texas,3038,14231,200,1162,48,453,000607,1362,0.8531571218795888,1.0,3038.0,35,census_api
Census Tract 6.08; Travis County; Texas,3627,3794,0,863,48,453,000608,863,1.0,1.0,3627.0,35,census_api
Census Tract 7; Travis County; Texas,1321,72321,352,474,48,453,000700,826,0.5738498789346247,1.0,1321.0,35,census_api
Census Tract 8.01; Travis County; Texas,2000,97596,619,240,48,453,000801,859,0.27939464493597205,1.0,2000.0,35,census_api
Census Tract 8.02; Travis County; Texas,3912,69904,547,912,48,453,000802,1459,0.6250856751199452,1.0,3912.0,35,census_api
Census Tract 8.03; Travis County; Texas,3300,82961,871,966,48,453,000803,1837,0.5258573761567773,1.0,3300.0,35,census_api
