state_abbr,state_fips,county_fips,county_name,classification,full_fips,search_name
AL,01,001,Autauga County,H1,01001,autauga
AL,01,003,Baldwin County,H1,01003,baldwin
AL,01,005,Barbour County,H1,01005,barbour
AL,01,007,Bibb County,H1,01007,bibb
AL,01,009,Blount County,H1,01009,blount
AL,01,011,Bullock County,H1,01011,bullock
AL,01,013,Butler County,H1,01013,butler
AL,01,015,Calhoun County,H1,01015,calhoun
AL,01,017,Chambers County,H1,01017,chambers
AL,01,019,Cherokee County,H1,01019,cherokee
AL,01,021,Chilton County,H1,01021,chilton
AL,01,023,Choctaw County,H1,01023,choctaw
AL,01,025,Clarke County,H1,01025,clarke
AL,01,027,Clay County,H1,01027,clay
AL,01,029,Cleburne County,H1,01029,cleburne
AL,01,031,Coffee County,H1,01031,coffee
AL,01,033,Colbert County,H1,01033,colbert
AL,01,035,Conecuh County,H1,01035,conecuh
AL,01,037,Coosa County,H1,01037,coosa
AL,01,039,Covington County,H1,01039,covington
AL,01,041,Crenshaw County,H1,01041,crenshaw
AL,01,043,Cullman County,H1,01043,cullman
AL,01,045,Dale County,H1,01045,dale
AL,01,047,Dallas County,H1,01047,dallas
AL,01,049,DeKalb County,H1,01049,dekalb
AL,01,051,Elmore County,H1,01051,elmore
AL,01,053,Escambia County,H1,01053,escambia
AL,01,055,Etowah County,H1,01055,etowah
AL,01,057,Fayette County,H1,01057,fayette
AL,01,059,Franklin County,H1,01059,franklin
AL,01,061,Geneva County,H1,01061,geneva
AL,01,063,Greene County,H1,01063,greene
AL,01,065,Hale County,H1,01065,hale
AL,01,067,Henry County,H1,01067,henry
AL,01,069,Houston County,H1,01069,houston
AL,01,071,Jackson County,H1,01071,jackson
AL,01,073,Jefferson County,H1,01073,jefferson
AL,01,075,Lamar County,H1,01075,lamar
AL,01,077,Lauderdale County,H1,01077,lauderdale
AL,01,079,Lawrence County,H1,01079,lawrence
AL,01,081,Lee County,H1,01081,lee
AL,01,083,Limestone County,H1,01083,limestone
AL,01,085,Lowndes County,H1,01085,lowndes
AL,01,087,Macon County,H1,01087,macon
AL,01,089,Madison County,H1,01089,madison
AL,01,091,Marengo County,H1,01091,marengo
AL,01,093,Marion County,H1,01093,marion
